Time,U_y,U_b
-2.495000e-03,-2.550533e+00,4.330667e-01
-2.490000e-03,-2.557467e+00,4.188000e-01
-2.485000e-03,-2.554533e+00,3.981333e-01
-2.480000e-03,-2.557467e+00,3.970667e-01
-2.475000e-03,-2.545200e+00,3.736000e-01
-2.470000e-03,-2.552800e+00,3.604000e-01
-2.465000e-03,-2.552800e+00,3.484000e-01
-2.460000e-03,-2.543467e+00,3.466667e-01
-2.455000e-03,-2.562133e+00,3.141333e-01
-2.450000e-03,-2.544667e+00,3.112000e-01
-2.445000e-03,-2.545867e+00,2.952000e-01
-2.440000e-03,-2.545867e+00,2.849333e-01
-2.435000e-03,-2.548800e+00,2.809334e-01
-2.430000e-03,-2.543467e+00,2.620000e-01
-2.425000e-03,-2.542400e+00,2.500000e-01
-2.420000e-03,-2.545867e+00,2.460000e-01
-2.415000e-03,-2.541733e+00,2.225333e-01
-2.410000e-03,-2.549333e+00,2.242667e-01
-2.405000e-03,-2.545200e+00,2.020000e-01
-2.400000e-03,-2.538933e+00,1.842667e-01
-2.395000e-03,-2.548800e+00,1.660000e-01
-2.390000e-03,-2.541200e+00,1.670667e-01
-2.385000e-03,-2.543467e+00,1.597333e-01
-2.380000e-03,-2.550533e+00,1.477333e-01
-2.375000e-03,-2.536533e+00,1.425333e-01
-2.370000e-03,-2.552800e+00,1.270667e-01
-2.365000e-03,-2.544667e+00,1.156000e-01
-2.360000e-03,-2.557467e+00,9.506667e-02
-2.355000e-03,-2.552800e+00,9.906667e-02
-2.350000e-03,-2.548133e+00,8.480000e-02
-2.345000e-03,-2.549333e+00,7.280000e-02
-2.340000e-03,-2.538933e+00,6.080000e-02
-2.335000e-03,-2.542400e+00,5.613333e-02
-2.330000e-03,-2.555067e+00,3.906667e-02
-2.325000e-03,-2.542933e+00,2.933333e-02
-2.320000e-03,-2.550533e+00,1.266667e-02
-2.315000e-03,-2.544133e+00,9.333333e-03
-2.310000e-03,-2.548133e+00,-3.333333e-03
-2.305000e-03,-2.540000e+00,-1.706667e-02
-2.300000e-03,-2.555067e+00,-3.080000e-02
-2.295000e-03,-2.555733e+00,-4.560000e-02
-2.290000e-03,-2.552800e+00,-4.680000e-02
-2.285000e-03,-2.543467e+00,-4.853334e-02
-2.280000e-03,-2.555067e+00,-7.426666e-02
-2.275000e-03,-2.551600e+00,-7.986667e-02
-2.270000e-03,-2.545867e+00,-7.653333e-02
-2.265000e-03,-2.551600e+00,-9.760000e-02
-2.260000e-03,-2.555067e+00,-1.108000e-01
-2.255000e-03,-2.549867e+00,-1.217333e-01
-2.250000e-03,-2.552800e+00,-1.222667e-01
-2.245000e-03,-2.547600e+00,-1.313333e-01
-2.240000e-03,-2.543467e+00,-1.450667e-01
-2.235000e-03,-2.549333e+00,-1.520000e-01
-2.230000e-03,-2.547067e+00,-1.542667e-01
-2.225000e-03,-2.552800e+00,-1.662667e-01
-2.220000e-03,-2.550533e+00,-1.680000e-01
-2.215000e-03,-2.547067e+00,-1.937333e-01
-2.210000e-03,-2.554000e+00,-2.012000e-01
-2.205000e-03,-2.560933e+00,-2.137333e-01
-2.200000e-03,-2.543467e+00,-2.389333e-01
-2.195000e-03,-2.559200e+00,-2.320000e-01
-2.190000e-03,-2.557467e+00,-2.424000e-01
-2.185000e-03,-2.555067e+00,-2.514667e-01
-2.180000e-03,-2.557467e+00,-2.572000e-01
-2.175000e-03,-2.547600e+00,-2.664000e-01
-2.170000e-03,-2.547067e+00,-2.754667e-01
-2.165000e-03,-2.552267e+00,-2.858667e-01
-2.160000e-03,-2.559733e+00,-2.984000e-01
-2.155000e-03,-2.551067e+00,-2.972000e-01
-2.150000e-03,-2.552800e+00,-3.144000e-01
-2.145000e-03,-2.548133e+00,-3.298667e-01
-2.140000e-03,-2.545867e+00,-3.212000e-01
-2.135000e-03,-2.542400e+00,-3.378667e-01
-2.130000e-03,-2.548133e+00,-3.509333e-01
-2.125000e-03,-2.555733e+00,-3.469333e-01
-2.120000e-03,-2.550533e+00,-3.738667e-01
-2.115000e-03,-2.552267e+00,-3.801333e-01
-2.110000e-03,-2.554000e+00,-3.830667e-01
-2.105000e-03,-2.556933e+00,-3.824000e-01
-2.100000e-03,-2.548133e+00,-3.968000e-01
-2.095000e-03,-2.555067e+00,-3.990667e-01
-2.090000e-03,-2.542400e+00,-4.241333e-01
-2.085000e-03,-2.560400e+00,-4.258667e-01
-2.080000e-03,-2.555067e+00,-4.288000e-01
-2.075000e-03,-2.548800e+00,-4.378667e-01
-2.070000e-03,-2.549333e+00,-4.458667e-01
-2.065000e-03,-2.552267e+00,-4.568000e-01
-2.060000e-03,-2.543467e+00,-4.722667e-01
-2.055000e-03,-2.554000e+00,-4.756000e-01
-2.050000e-03,-2.552800e+00,-4.780000e-01
-2.045000e-03,-2.554533e+00,-4.865333e-01
-2.040000e-03,-2.557467e+00,-5.020000e-01
-2.035000e-03,-2.548800e+00,-4.980000e-01
-2.030000e-03,-2.542400e+00,-5.214667e-01
-2.025000e-03,-2.549333e+00,-5.317333e-01
-2.020000e-03,-2.543467e+00,-5.385333e-01
-2.015000e-03,-2.551067e+00,-5.454667e-01
-2.010000e-03,-2.545867e+00,-5.442667e-01
-2.005000e-03,-2.544667e+00,-5.609334e-01
-2.000000e-03,-2.550533e+00,-5.592000e-01
-1.995000e-03,2.413733e+00,-5.482666e-01
-1.990000e-03,2.417200e+00,-5.374666e-01
-1.985000e-03,2.428267e+00,-5.190667e-01
-1.980000e-03,2.418400e+00,-5.248000e-01
-1.975000e-03,2.417200e+00,-4.968000e-01
-1.970000e-03,2.410267e+00,-4.905334e-01
-1.965000e-03,2.408000e+00,-4.716000e-01
-1.960000e-03,2.402133e+00,-4.516000e-01
-1.955000e-03,2.405067e+00,-4.510667e-01
-1.950000e-03,2.403333e+00,-4.298667e-01
-1.945000e-03,2.414933e+00,-4.190667e-01
