Time(s),CH1V,CH2V
-1.000000e-03,-2.559600e+00,-1.968133e+00
-9.980000e-04,2.316400e+00,-1.908667e+00
-9.960000e-04,2.276933e+00,-1.679867e+00
-9.940000e-04,2.214267e+00,-1.345867e+00
-9.920000e-04,2.212000e+00,-9.730667e-01
-9.900000e-04,2.207333e+00,-5.566667e-01
-9.880000e-04,2.212000e+00,-1.449333e-01
-9.860000e-04,2.198133e+00,2.508000e-01
-9.840000e-04,2.228267e+00,6.008000e-01
-9.820000e-04,2.253733e+00,9.209334e-01
-9.800000e-04,2.267733e+00,1.188667e+00
-9.780000e-04,2.295600e+00,1.422000e+00
-9.760000e-04,2.316400e+00,1.620933e+00
-9.740000e-04,2.332667e+00,1.758267e+00
-9.720000e-04,2.342000e+00,1.881733e+00
-9.700000e-04,2.351200e+00,1.943467e+00
-9.680000e-04,2.376800e+00,2.007600e+00
-9.660000e-04,2.379067e+00,2.032667e+00
-9.640000e-04,2.383733e+00,2.053333e+00
-9.620000e-04,2.409333e+00,2.055600e+00
-9.600000e-04,2.395333e+00,2.044133e+00
-9.580000e-04,2.397733e+00,2.032667e+00
-9.560000e-04,2.418533e+00,2.014400e+00
-9.540000e-04,2.406933e+00,1.989200e+00
-9.520000e-04,2.418533e+00,1.968667e+00
-9.500000e-04,2.413867e+00,1.943467e+00
-9.480000e-04,2.411600e+00,1.932133e+00
-9.460000e-04,2.423200e+00,1.918400e+00
-9.440000e-04,2.406933e+00,1.900000e+00
-9.420000e-04,2.406933e+00,1.881733e+00
-9.400000e-04,2.411600e+00,1.870267e+00
-9.380000e-04,2.402267e+00,1.863467e+00
-9.360000e-04,2.418533e+00,1.856533e+00
-9.340000e-04,2.397733e+00,1.836000e+00
-9.320000e-04,2.400000e+00,1.852000e+00
-9.300000e-04,2.409333e+00,1.845200e+00
-9.280000e-04,2.390667e+00,1.847467e+00
-9.260000e-04,2.395333e+00,1.858933e+00
-9.240000e-04,2.388400e+00,1.847467e+00
-9.220000e-04,2.390667e+00,1.856533e+00
-9.200000e-04,2.397733e+00,1.854267e+00
-9.180000e-04,2.404667e+00,1.852000e+00
-9.160000e-04,2.395333e+00,1.852000e+00
-9.140000e-04,2.402267e+00,1.856533e+00
-9.120000e-04,2.395333e+00,1.849733e+00
-9.100000e-04,2.379067e+00,1.854267e+00
-9.080000e-04,2.402267e+00,1.858933e+00
-9.060000e-04,2.413867e+00,1.863467e+00
-9.040000e-04,2.395333e+00,1.854267e+00
-9.020000e-04,2.395333e+00,1.861200e+00
-9.000000e-04,2.400000e+00,1.863467e+00
-8.980000e-04,2.402267e+00,1.870267e+00
-8.960000e-04,2.397733e+00,1.874933e+00
-8.940000e-04,2.406933e+00,1.858933e+00
-8.920000e-04,2.402267e+00,1.863467e+00
-8.900000e-04,2.402267e+00,1.863467e+00
-8.880000e-04,2.402267e+00,1.863467e+00
-8.860000e-04,2.395333e+00,1.865733e+00
-8.840000e-04,2.395333e+00,1.874933e+00
