Time,CH1V,U_b,CH3V
-9.920000e-04,4.684134e+00,1.756533e+00,-2.706667e-02
-9.900000e-04,4.634933e+00,2.168133e+00,-2.253333e-02
-9.880000e-04,4.644400e+00,2.616800e+00,-1.093333e-02
-9.860000e-04,4.653733e+00,3.051600e+00,-1.320000e-02
-9.840000e-04,4.660667e+00,3.460800e+00,-2.480000e-02
-9.820000e-04,4.686400e+00,3.837467e+00,-2.480000e-02
-9.800000e-04,4.723867e+00,4.151333e+00,-1.320000e-02
-9.780000e-04,4.749600e+00,4.402400e+00,-2.946667e-02
-9.760000e-04,4.791733e+00,4.600000e+00,-2.013333e-02
-9.740000e-04,4.801067e+00,4.751200e+00,-2.480000e-02
-9.720000e-04,4.838533e+00,4.820933e+00,-2.013333e-02
-9.700000e-04,4.878267e+00,4.858133e+00,-1.560000e-02
-9.680000e-04,4.892400e+00,4.851200e+00,-6.266667e-03
-9.660000e-04,4.915733e+00,4.793067e+00,-2.480000e-02
-9.640000e-04,4.941467e+00,4.718667e+00,-2.946667e-02
-9.620000e-04,4.943867e+00,4.630267e+00,-8.666667e-03
-9.600000e-04,4.943867e+00,4.530267e+00,-8.666667e-03
-9.580000e-04,4.948534e+00,4.409467e+00,-6.266667e-03
-9.560000e-04,4.950800e+00,4.318800e+00,-1.560000e-02
-9.540000e-04,4.948534e+00,4.209467e+00,-3.173333e-02
-9.520000e-04,4.925067e+00,4.130400e+00,-8.666667e-03
-9.500000e-04,4.918133e+00,4.046667e+00,-1.786667e-02
-9.480000e-04,4.906400e+00,3.995600e+00,-1.786667e-02
-9.460000e-04,4.908667e+00,3.949067e+00,-2.480000e-02
-9.440000e-04,4.894667e+00,3.918800e+00,-1.560000e-02
-9.420000e-04,4.887600e+00,3.900267e+00,-3.173333e-02
-9.400000e-04,4.876000e+00,3.897867e+00,-1.560000e-02
-9.380000e-04,4.887600e+00,3.900267e+00,-2.480000e-02
-9.360000e-04,4.864267e+00,3.914133e+00,-2.480000e-02
-9.340000e-04,4.890000e+00,3.939733e+00,-1.560000e-02
-9.320000e-04,4.873600e+00,3.960667e+00,-1.560000e-02
-9.300000e-04,4.890000e+00,3.988533e+00,-2.946667e-02
-9.280000e-04,4.873600e+00,4.007200e+00,-1.560000e-02
-9.260000e-04,4.873600e+00,4.046667e+00,-2.253333e-02
-9.240000e-04,4.882934e+00,4.051333e+00,-1.093333e-02
-9.220000e-04,4.873600e+00,4.081600e+00,-2.480000e-02
-9.200000e-04,4.882934e+00,4.095600e+00,-4.000000e-03
-9.180000e-04,4.873600e+00,4.107200e+00,-1.786667e-02
-9.160000e-04,4.885334e+00,4.125733e+00,-4.000000e-03
-9.140000e-04,4.882934e+00,4.130400e+00,-2.253333e-02
-9.120000e-04,4.892400e+00,4.130400e+00,-2.253333e-02
-9.100000e-04,4.890000e+00,4.130400e+00,-1.560000e-02
-9.080000e-04,4.892400e+00,4.123466e+00,-1.560000e-02
-9.060000e-04,4.887600e+00,4.125733e+00,-3.413333e-02
-9.040000e-04,4.906400e+00,4.121067e+00,-6.266667e-03
-9.020000e-04,4.892400e+00,4.104800e+00,-3.640000e-02
-9.000000e-04,4.890000e+00,4.104800e+00,-1.093333e-02
-8.980000e-04,4.878267e+00,4.104800e+00,-1.320000e-02
-8.960000e-04,4.885334e+00,4.090933e+00,-1.560000e-02
-8.940000e-04,4.876000e+00,4.083867e+00,-2.480000e-02
-8.920000e-04,4.885334e+00,4.086267e+00,-1.560000e-02
-8.900000e-04,4.882934e+00,4.074667e+00,-2.946667e-02
-8.880000e-04,4.890000e+00,4.090933e+00,-2.946667e-02
-8.860000e-04,4.885334e+00,4.070000e+00,-2.706667e-02
-8.840000e-04,4.880667e+00,4.079200e+00,-8.666667e-03
-8.820000e-04,4.887600e+00,4.072267e+00,-2.706667e-02
-8.800000e-04,4.890000e+00,4.074667e+00,-1.093333e-02
-8.780000e-04,4.880667e+00,4.072267e+00,-1.093333e-02
-8.760000e-04,4.890000e+00,4.074667e+00,-2.013333e-02
-8.740000e-04,4.878267e+00,4.081600e+00,-2.946667e-02
-8.720000e-04,4.894667e+00,4.093200e+00,-1.093333e-02
-8.700000e-04,4.878267e+00,4.070000e+00,-2.253333e-02
-8.680000e-04,4.890000e+00,4.097867e+00,-1.320000e-02
-8.660000e-04,4.901733e+00,4.083867e+00,-2.480000e-02
-8.640000e-04,4.890000e+00,4.093200e+00,7.600000e-03
-8.620000e-04,4.890000e+00,4.083867e+00,-1.320000e-02
-8.600000e-04,4.901733e+00,4.102533e+00,-1.093333e-02
-8.580000e-04,4.887600e+00,4.083867e+00,-2.253333e-02
-8.560000e-04,4.890000e+00,4.097867e+00,-8.666667e-03
-8.540000e-04,4.890000e+00,4.093200e+00,-2.253333e-02
-8.520000e-04,4.894667e+00,4.109467e+00,-1.320000e-02
-8.500000e-04,4.904000e+00,4.086267e+00,-1.786667e-02
-8.480000e-04,4.890000e+00,4.100133e+00,-8.666667e-03
-8.460000e-04,4.890000e+00,4.093200e+00,-2.706667e-02
-8.440000e-04,4.894667e+00,4.090933e+00,-2.253333e-02
-8.420000e-04,4.887600e+00,4.100133e+00,-3.413333e-02
-8.400000e-04,4.897067e+00,4.079200e+00,-2.480000e-02
-8.380000e-04,4.878267e+00,4.097867e+00,-2.253333e-02
-8.360000e-04,4.897067e+00,4.093200e+00,-2.013333e-02
-8.340000e-04,4.890000e+00,4.081600e+00,-2.706667e-02
-8.320000e-04,4.892400e+00,4.086267e+00,-1.600000e-03
-8.300000e-04,4.897067e+00,4.093200e+00,-2.013333e-02
-8.280000e-04,4.885334e+00,4.104800e+00,-2.013333e-02
-8.260000e-04,4.880667e+00,4.088533e+00,-2.706667e-02
-8.240000e-04,4.894667e+00,4.088533e+00,-8.666667e-03
-8.220000e-04,4.887600e+00,4.081600e+00,-1.560000e-02
-8.200000e-04,4.892400e+00,4.090933e+00,-2.706667e-02
-8.180000e-04,4.890000e+00,4.093200e+00,-1.320000e-02
-8.160000e-04,4.892400e+00,4.079200e+00,-8.666667e-03
-8.140000e-04,4.899333e+00,4.083867e+00,-1.093333e-02
-8.120000e-04,4.894667e+00,4.090933e+00,-2.480000e-02
-8.100000e-04,4.897067e+00,4.083867e+00,-1.320000e-02
-8.080000e-04,4.899333e+00,4.083867e+00,2.933333e-03
-8.060000e-04,4.897067e+00,4.083867e+00,-1.093333e-02
-8.040000e-04,4.885334e+00,4.102533e+00,-6.266667e-03
-8.020000e-04,4.878267e+00,4.086267e+00,-1.093333e-02
-8.000000e-04,4.897067e+00,4.100133e+00,-6.266667e-03
-7.980000e-04,4.890000e+00,4.097867e+00,-2.253333e-02
-7.960000e-04,4.906400e+00,4.107200e+00,-4.000000e-03
-7.940000e-04,4.885334e+00,4.093200e+00,-6.266667e-03
-7.920000e-04,4.890000e+00,4.093200e+00,-1.320000e-02
-7.900000e-04,4.904000e+00,4.090933e+00,-1.093333e-02
-7.880000e-04,4.892400e+00,4.086267e+00,-8.666667e-03
-7.860000e-04,4.897067e+00,4.083867e+00,-2.253333e-02
-7.840000e-04,4.892400e+00,4.090933e+00,-1.093333e-02
-7.820000e-04,4.892400e+00,4.079200e+00,-2.480000e-02
-7.800000e-04,4.890000e+00,4.074667e+00,-1.560000e-02
-7.780000e-04,4.890000e+00,4.076933e+00,-2.480000e-02
-7.760000e-04,4.901733e+00,4.086267e+00,-1.560000e-02
-7.740000e-04,4.908667e+00,4.088533e+00,-2.946667e-02
-7.720000e-04,4.890000e+00,4.093200e+00,-2.706667e-02
-7.700000e-04,4.894667e+00,4.088533e+00,-2.706667e-02
-7.680000e-04,4.887600e+00,4.088533e+00,-2.013333e-02
-7.660000e-04,4.885334e+00,4.086267e+00,-2.480000e-02
-7.640000e-04,4.885334e+00,4.093200e+00,-1.560000e-02
-7.620000e-04,4.894667e+00,4.088533e+00,-2.480000e-02
-7.600000e-04,4.878267e+00,4.081600e+00,-2.013333e-02
-7.580000e-04,4.880667e+00,4.083867e+00,-2.946667e-02
-7.560000e-04,4.887600e+00,4.083867e+00,-2.013333e-02
-7.540000e-04,4.890000e+00,4.083867e+00,-2.480000e-02
-7.520000e-04,4.897067e+00,4.086267e+00,-4.000000e-03
-7.500000e-04,4.901733e+00,4.081600e+00,-2.013333e-02
