Time,U_y,U_b
-2.500000e-03,2.404533e+00,1.906800e+00
-2.495000e-03,-2.354933e+00,1.452667e+00
-2.490000e-03,-2.275467e+00,2.757333e-01
-2.485000e-03,-2.277733e+00,-1.033200e+00
-2.480000e-03,-2.332267e+00,-2.096400e+00
-2.475000e-03,-2.433867e+00,-2.746000e+00
-2.470000e-03,-2.513333e+00,-2.980533e+00
-2.465000e-03,-2.587067e+00,-2.867867e+00
-2.460000e-03,-2.606133e+00,-2.583600e+00
-2.455000e-03,-2.602133e+00,-2.253067e+00
-2.450000e-03,-2.595733e+00,-1.982000e+00
-2.445000e-03,-2.554533e+00,-1.840667e+00
-2.440000e-03,-2.531867e+00,-1.773867e+00
-2.435000e-03,-2.523200e+00,-1.797333e+00
-2.430000e-03,-2.511067e+00,-1.876800e+00
-2.425000e-03,-2.517467e+00,-1.954533e+00
-2.420000e-03,-2.522667e+00,-2.030000e+00
-2.415000e-03,-2.525600e+00,-2.064400e+00
-2.410000e-03,-2.543467e+00,-2.080400e+00
-2.405000e-03,-2.543467e+00,-2.063733e+00
-2.400000e-03,-2.550533e+00,-2.052933e+00
-2.395000e-03,-2.530133e+00,-2.031733e+00
-2.390000e-03,-2.538933e+00,-2.014000e+00
-2.385000e-03,-2.543467e+00,-2.014533e+00
-2.380000e-03,-2.527333e+00,-2.007200e+00
-2.375000e-03,-2.535467e+00,-2.004800e+00
-2.370000e-03,-2.544667e+00,-2.010533e+00
-2.365000e-03,-2.545867e+00,-2.013467e+00
-2.360000e-03,-2.541200e+00,-2.014000e+00
-2.355000e-03,-2.551067e+00,-2.022000e+00
-2.350000e-03,-2.554000e+00,-2.017467e+00
-2.345000e-03,-2.542400e+00,-2.025467e+00
-2.340000e-03,-2.541200e+00,-2.009467e+00
-2.335000e-03,-2.534800e+00,-2.028933e+00
-2.330000e-03,-2.544667e+00,-2.019733e+00
-2.325000e-03,-2.537200e+00,-2.008800e+00
-2.320000e-03,-2.541200e+00,-2.023200e+00
-2.315000e-03,-2.534267e+00,-2.015200e+00
-2.310000e-03,-2.547067e+00,-2.022000e+00
-2.305000e-03,-2.542933e+00,-2.015733e+00
-2.300000e-03,-2.529600e+00,-2.023200e+00
-2.295000e-03,-2.540667e+00,-2.025467e+00
-2.290000e-03,-2.542400e+00,-2.015200e+00
-2.285000e-03,-2.548800e+00,-2.023200e+00
-2.280000e-03,-2.543467e+00,-2.007200e+00
-2.275000e-03,-2.538933e+00,-2.025467e+00
-2.270000e-03,-2.545867e+00,-2.014000e+00
-2.265000e-03,-2.534800e+00,-2.007733e+00
-2.260000e-03,-2.543467e+00,-2.011733e+00
-2.255000e-03,-2.541200e+00,-2.019200e+00
-2.250000e-03,-2.544667e+00,-2.010533e+00
-2.245000e-03,-2.544667e+00,-2.029467e+00
-2.240000e-03,-2.534267e+00,-2.023200e+00
-2.235000e-03,-2.555733e+00,-2.035200e+00
-2.230000e-03,-2.544667e+00,-2.019733e+00
-2.225000e-03,-2.526667e+00,-2.025467e+00
-2.220000e-03,-2.545867e+00,-2.030000e+00
-2.215000e-03,-2.534267e+00,-2.024933e+00
-2.210000e-03,-2.543467e+00,-2.011733e+00
-2.205000e-03,-2.538933e+00,-2.020267e+00
-2.200000e-03,-2.529600e+00,-2.014000e+00
-2.195000e-03,-2.544133e+00,-2.009467e+00
-2.190000e-03,-2.545867e+00,-2.017467e+00
-2.185000e-03,-2.543467e+00,-2.016933e+00
-2.180000e-03,-2.555067e+00,-2.018533e+00
-2.175000e-03,-2.538933e+00,-2.029467e+00
-2.170000e-03,-2.533067e+00,-2.017467e+00
-2.165000e-03,-2.537733e+00,-2.011200e+00
-2.160000e-03,-2.538933e+00,-2.007200e+00
-2.155000e-03,-2.533067e+00,-2.020267e+00
-2.150000e-03,-2.541200e+00,-2.015200e+00
-2.145000e-03,-2.527867e+00,-2.011733e+00
-2.140000e-03,-2.543467e+00,-2.014000e+00
-2.135000e-03,-2.541733e+00,-2.017467e+00
-2.130000e-03,-2.543467e+00,-2.008267e+00
-2.125000e-03,-2.545200e+00,-2.009467e+00
-2.120000e-03,-2.548133e+00,-2.020933e+00
-2.115000e-03,-2.540000e+00,-2.008800e+00
-2.110000e-03,-2.544667e+00,-2.028933e+00
-2.105000e-03,-2.530800e+00,-2.014000e+00
-2.100000e-03,-2.527333e+00,-2.016267e+00
-2.095000e-03,-2.554000e+00,-2.012267e+00
-2.090000e-03,-2.547067e+00,-2.020933e+00
-2.085000e-03,-2.546400e+00,-2.031200e+00
-2.080000e-03,-2.550533e+00,-2.020933e+00
-2.075000e-03,-2.547067e+00,-2.018533e+00
-2.070000e-03,-2.547067e+00,-2.027733e+00
-2.065000e-03,-2.546400e+00,-2.022000e+00
-2.060000e-03,-2.531867e+00,-2.018533e+00
-2.055000e-03,-2.545200e+00,-2.019200e+00
-2.050000e-03,-2.538933e+00,-2.015200e+00
-2.045000e-03,-2.549867e+00,-2.024267e+00
-2.040000e-03,-2.543467e+00,-2.009467e+00
-2.035000e-03,-2.537200e+00,-2.011200e+00
-2.030000e-03,-2.547067e+00,-2.017467e+00
-2.025000e-03,-2.540667e+00,-2.031200e+00
-2.020000e-03,-2.536533e+00,-2.018533e+00
-2.015000e-03,-2.543467e+00,-2.015733e+00
-2.010000e-03,-2.547067e+00,-2.014000e+00
-2.005000e-03,-2.538933e+00,-2.015200e+00
-2.000000e-03,-2.541200e+00,-2.018533e+00
-1.995000e-03,2.223467e+00,-1.582800e+00
-1.990000e-03,2.130667e+00,-4.230667e-01
-1.985000e-03,2.132933e+00,8.928000e-01
-1.980000e-03,2.207200e+00,1.970800e+00
-1.975000e-03,2.304133e+00,2.638133e+00
-1.970000e-03,2.391733e+00,2.866400e+00
-1.965000e-03,2.436400e+00,2.776000e+00
-1.960000e-03,2.467200e+00,2.474000e+00
-1.955000e-03,2.469467e+00,2.150933e+00
-1.950000e-03,2.455600e+00,1.882800e+00
-1.945000e-03,2.427733e+00,1.724933e+00
-1.940000e-03,2.409200e+00,1.664267e+00
-1.935000e-03,2.391733e+00,1.700933e+00
-1.930000e-03,2.382400e+00,1.772933e+00
-1.925000e-03,2.388800e+00,1.858133e+00
-1.920000e-03,2.381333e+00,1.918267e+00
-1.915000e-03,2.393467e+00,1.956533e+00
-1.910000e-03,2.420800e+00,1.965067e+00
-1.905000e-03,2.410933e+00,1.961067e+00
-1.900000e-03,2.423067e+00,1.943333e+00
-1.895000e-03,2.410933e+00,1.921600e+00
-1.890000e-03,2.413733e+00,1.912533e+00
-1.885000e-03,2.405067e+00,1.898133e+00
-1.880000e-03,2.406800e+00,1.897600e+00
-1.875000e-03,2.402133e+00,1.903333e+00
-1.870000e-03,2.402133e+00,1.898800e+00
