Time(s),CH1V,CH2V
-2.997500e-02,4.217600e+00,3.921333e+00
-2.992000e-02,4.281734e+00,3.979067e+00
-2.986500e-02,4.334933e+00,4.042533e+00
-2.981000e-02,4.388800e+00,4.101867e+00
-2.975500e-02,4.438000e+00,4.165600e+00
-2.970000e-02,4.483067e+00,4.220667e+00
-2.964500e-02,4.534133e+00,4.271467e+00
-2.959000e-02,4.584933e+00,4.327600e+00
-2.953500e-02,4.625467e+00,4.372533e+00
-2.948000e-02,4.660800e+00,4.412533e+00
-2.942500e-02,4.706267e+00,4.474667e+00
-2.937000e-02,4.739467e+00,4.516933e+00
-2.931500e-02,4.776800e+00,4.562000e+00
-2.926000e-02,4.808267e+00,4.588667e+00
-2.920500e-02,4.839067e+00,4.632267e+00
-2.915000e-02,4.859867e+00,4.669067e+00
-2.909500e-02,4.882534e+00,4.705733e+00
-2.904000e-02,4.901867e+00,4.735200e+00
-2.898500e-02,4.926667e+00,4.768267e+00
-2.893000e-02,4.943600e+00,4.783600e+00
-2.887500e-02,4.961467e+00,4.817733e+00
-2.882000e-02,4.968934e+00,4.837200e+00
-2.876500e-02,4.984933e+00,4.857200e+00
-2.871000e-02,4.991600e+00,4.876000e+00
-2.865500e-02,4.999866e+00,4.888134e+00
-2.860000e-02,4.995467e+00,4.894000e+00
-2.854500e-02,4.989467e+00,4.905734e+00
-2.849000e-02,4.995467e+00,4.917467e+00
-2.843500e-02,4.987733e+00,4.918400e+00
-2.838000e-02,4.978533e+00,4.923200e+00
-2.832500e-02,4.959200e+00,4.914267e+00
-2.827000e-02,4.955467e+00,4.917867e+00
-2.821500e-02,4.933600e+00,4.900134e+00
-2.816000e-02,4.916800e+00,4.906933e+00
-2.810500e-02,4.905467e+00,4.883200e+00
-2.805000e-02,4.883200e+00,4.874933e+00
-2.799500e-02,4.846400e+00,4.853467e+00
-2.794000e-02,4.828134e+00,4.833333e+00
-2.788500e-02,4.793067e+00,4.814400e+00
-2.783000e-02,4.754000e+00,4.800800e+00
-2.777500e-02,4.723200e+00,4.763867e+00
-2.772000e-02,4.687600e+00,4.728000e+00
-2.766500e-02,4.651467e+00,4.698133e+00
-2.761000e-02,4.623333e+00,4.671200e+00
-2.755500e-02,4.564133e+00,4.636000e+00
-2.750000e-02,4.512800e+00,4.597467e+00
-2.744500e-02,4.478400e+00,4.568000e+00
-2.739000e-02,4.422667e+00,4.516400e+00
-2.733500e-02,4.365600e+00,4.471467e+00
-2.728000e-02,4.310667e+00,4.426800e+00
-2.722500e-02,4.255200e+00,4.375200e+00
-2.717000e-02,4.206000e+00,4.332667e+00
-2.711500e-02,4.142533e+00,4.281200e+00
-2.706000e-02,4.075200e+00,4.219867e+00
-2.700500e-02,4.013333e+00,4.169867e+00
-2.695000e-02,3.957867e+00,4.124000e+00
-2.689500e-02,3.888933e+00,4.058267e+00
-2.684000e-02,3.809467e+00,3.996400e+00
-2.678500e-02,3.753467e+00,3.942667e+00
-2.673000e-02,3.688533e+00,3.884800e+00
-2.667500e-02,3.615333e+00,3.823867e+00
-2.662000e-02,3.522400e+00,3.739067e+00
-2.656500e-02,3.463467e+00,3.675600e+00
-2.651000e-02,3.402267e+00,3.623867e+00
-2.645500e-02,3.310933e+00,3.551333e+00
-2.640000e-02,3.244267e+00,3.477867e+00
-2.634500e-02,3.167733e+00,3.392533e+00
-2.629000e-02,3.085467e+00,3.329867e+00
-2.623500e-02,3.009733e+00,3.258800e+00
-2.618000e-02,2.931200e+00,3.192000e+00
-2.612500e-02,2.846400e+00,3.111600e+00
-2.607000e-02,2.770933e+00,3.035467e+00
-2.601500e-02,2.694000e+00,2.963467e+00
-2.596000e-02,2.611333e+00,2.889867e+00
-2.590500e-02,2.528667e+00,2.813333e+00
-2.585000e-02,2.456933e+00,2.744533e+00
-2.579500e-02,2.366133e+00,2.657200e+00
-2.574000e-02,2.289467e+00,2.575733e+00
-2.568500e-02,2.214267e+00,2.496533e+00
-2.563000e-02,2.139067e+00,2.430933e+00
-2.557500e-02,2.057333e+00,2.354133e+00
-2.552000e-02,1.981333e+00,2.267333e+00
-2.546500e-02,1.906800e+00,2.200800e+00
-2.541000e-02,1.832267e+00,2.131733e+00
-2.535500e-02,1.736933e+00,2.050133e+00
-2.530000e-02,1.677333e+00,1.972400e+00
-2.524500e-02,1.593200e+00,1.894667e+00
-2.519000e-02,1.528667e+00,1.812800e+00
-2.513500e-02,1.430133e+00,1.743200e+00
-2.508000e-02,1.386000e+00,1.670800e+00
-2.502500e-02,1.297200e+00,1.610000e+00
-2.497000e-02,1.237467e+00,1.533333e+00
-2.491500e-02,1.164533e+00,1.465200e+00
-2.486000e-02,1.094000e+00,1.393067e+00
-2.480500e-02,1.028533e+00,1.311333e+00
-2.475000e-02,9.734667e-01,1.250933e+00
-2.469500e-02,9.028000e-01,1.186667e+00
-2.464000e-02,8.508000e-01,1.108133e+00
-2.458500e-02,7.920000e-01,1.064267e+00
-2.453000e-02,7.261333e-01,9.784000e-01
-2.447500e-02,6.653333e-01,9.420000e-01
-2.442000e-02,6.218667e-01,8.709334e-01
-2.436500e-02,5.624000e-01,8.161333e-01
-2.431000e-02,5.110667e-01,7.589334e-01
-2.425500e-02,4.725333e-01,7.005333e-01
-2.420000e-02,4.280000e-01,6.549333e-01
-2.414500e-02,3.748000e-01,6.061333e-01
-2.409000e-02,3.317333e-01,5.498667e-01
-2.403500e-02,2.900000e-01,5.057333e-01
-2.398000e-02,2.494667e-01,4.570667e-01
-2.392500e-02,2.265333e-01,4.181333e-01
-2.387000e-02,1.908000e-01,3.742667e-01
-2.381500e-02,1.598667e-01,3.341333e-01
-2.376000e-02,1.378667e-01,2.921333e-01
-2.370500e-02,1.101333e-01,2.597333e-01
-2.365000e-02,8.386667e-02,2.276000e-01
-2.359500e-02,7.093333e-02,1.946667e-01
-2.354000e-02,5.013333e-02,1.714667e-01
