Time(s),CH1V,CH2V
-2.999500e-03,3.220400e+00,3.519600e+00
-2.996000e-03,3.147867e+00,3.502400e+00
-2.992500e-03,3.072667e+00,3.503467e+00
-2.989000e-03,2.995200e+00,3.488800e+00
-2.985500e-03,2.924000e+00,3.480800e+00
-2.982000e-03,2.846667e+00,3.472267e+00
-2.978500e-03,2.753867e+00,3.457600e+00
-2.975000e-03,2.683333e+00,3.446800e+00
-2.971500e-03,2.608667e+00,3.432133e+00
-2.968000e-03,2.519600e+00,3.404933e+00
-2.964500e-03,2.447600e+00,3.394133e+00
-2.961000e-03,2.358800e+00,3.381200e+00
-2.957500e-03,2.280800e+00,3.358533e+00
-2.954000e-03,2.208267e+00,3.339333e+00
-2.950500e-03,2.124267e+00,3.323467e+00
-2.947000e-03,2.044667e+00,3.301600e+00
-2.943500e-03,1.968933e+00,3.278133e+00
-2.940000e-03,1.890933e+00,3.250400e+00
-2.936500e-03,1.824800e+00,3.218667e+00
-2.933000e-03,1.737733e+00,3.206533e+00
-2.929500e-03,1.658133e+00,3.174000e+00
-2.926000e-03,1.584667e+00,3.143733e+00
-2.922500e-03,1.507733e+00,3.116267e+00
-2.919000e-03,1.433200e+00,3.084533e+00
-2.915500e-03,1.360933e+00,3.054000e+00
-2.912000e-03,1.290533e+00,3.031067e+00
-2.908500e-03,1.214533e+00,2.998400e+00
-2.905000e-03,1.158133e+00,2.973867e+00
-2.901500e-03,1.082933e+00,2.956533e+00
-2.898000e-03,1.018800e+00,2.912133e+00
-2.894500e-03,9.694667e-01,2.883600e+00
-2.891000e-03,9.054667e-01,2.844133e+00
-2.887500e-03,8.390667e-01,2.822933e+00
-2.884000e-03,7.784000e-01,2.793200e+00
-2.880500e-03,7.125334e-01,2.744267e+00
-2.877000e-03,6.680000e-01,2.723600e+00
-2.873500e-03,6.076000e-01,2.679200e+00
-2.870000e-03,5.634667e-01,2.638933e+00
-2.866500e-03,5.117334e-01,2.608933e+00
-2.863000e-03,4.548000e-01,2.578933e+00
-2.859500e-03,4.125333e-01,2.537600e+00
-2.856000e-03,3.838667e-01,2.515867e+00
-2.852500e-03,3.506667e-01,2.468533e+00
-2.849000e-03,3.073334e-01,2.433200e+00
-2.845500e-03,2.685333e-01,2.414267e+00
-2.842000e-03,2.333333e-01,2.381867e+00
-2.838500e-03,2.061333e-01,2.344000e+00
-2.835000e-03,1.856000e-01,2.320267e+00
-2.831500e-03,1.629333e-01,2.286267e+00
-2.828000e-03,1.286667e-01,2.243467e+00
-2.824500e-03,1.022667e-01,2.201867e+00
-2.821000e-03,8.413333e-02,2.182400e+00
-2.817500e-03,6.773333e-02,2.145867e+00
-2.814000e-03,5.946667e-02,2.102800e+00
-2.810500e-03,4.840000e-02,2.088667e+00
-2.807000e-03,3.733333e-02,2.045067e+00
-2.803500e-03,3.360000e-02,2.012267e+00
-2.800000e-03,3.080000e-02,1.985333e+00
-2.796500e-03,2.906667e-02,1.962400e+00
-2.793000e-03,2.973333e-02,1.940667e+00
-2.789500e-03,4.040000e-02,1.901333e+00
-2.786000e-03,5.013333e-02,1.881200e+00
-2.782500e-03,5.693333e-02,1.846933e+00
-2.779000e-03,7.506667e-02,1.828000e+00
-2.775500e-03,8.133333e-02,1.801600e+00
-2.772000e-03,9.746667e-02,1.777867e+00
-2.768500e-03,1.204000e-01,1.747867e+00
-2.765000e-03,1.485333e-01,1.724667e+00
-2.761500e-03,1.697333e-01,1.697467e+00
-2.758000e-03,1.953333e-01,1.679333e+00
-2.754500e-03,2.265333e-01,1.656133e+00
-2.751000e-03,2.492000e-01,1.631733e+00
-2.747500e-03,3.036000e-01,1.613733e+00
-2.744000e-03,3.430667e-01,1.599867e+00
-2.740500e-03,3.614667e-01,1.577467e+00
-2.737000e-03,4.102667e-01,1.561333e+00
-2.733500e-03,4.613333e-01,1.534400e+00
-2.730000e-03,5.069333e-01,1.534667e+00
-2.726500e-03,5.474667e-01,1.509467e+00
-2.723000e-03,6.053333e-01,1.496133e+00
-2.719500e-03,6.553333e-01,1.477733e+00
-2.716000e-03,7.012000e-01,1.482933e+00
-2.712500e-03,7.590667e-01,1.470400e+00
-2.709000e-03,8.232000e-01,1.458800e+00
-2.705500e-03,8.866667e-01,1.449467e+00
-2.702000e-03,9.457334e-01,1.454267e+00
-2.698500e-03,1.008667e+00,1.437600e+00
-2.695000e-03,1.064267e+00,1.428267e+00
-2.691500e-03,1.138533e+00,1.425733e+00
-2.688000e-03,1.213067e+00,1.426800e+00
-2.684500e-03,1.276933e+00,1.420667e+00
-2.681000e-03,1.354400e+00,1.408667e+00
-2.677500e-03,1.414133e+00,1.416667e+00
-2.674000e-03,1.487067e+00,1.409867e+00
-2.670500e-03,1.560000e+00,1.419467e+00
-2.667000e-03,1.634533e+00,1.430267e+00
-2.663500e-03,1.712533e+00,1.434800e+00
-2.660000e-03,1.790800e+00,1.434533e+00
-2.656500e-03,1.860533e+00,1.442667e+00
-2.653000e-03,1.943333e+00,1.441600e+00
-2.649500e-03,2.029067e+00,1.460800e+00
-2.646000e-03,2.109333e+00,1.463600e+00
-2.642500e-03,2.185067e+00,1.480667e+00
-2.639000e-03,2.266933e+00,1.490533e+00
-2.635500e-03,2.340933e+00,1.504933e+00
-2.632000e-03,2.430533e+00,1.510667e+00
-2.628500e-03,2.504267e+00,1.540667e+00
-2.625000e-03,2.574667e+00,1.551733e+00
-2.621500e-03,2.667733e+00,1.568400e+00
-2.618000e-03,2.751867e+00,1.585333e+00
-2.614500e-03,2.821333e+00,1.601200e+00
-2.611000e-03,2.906800e+00,1.621867e+00
-2.607500e-03,2.978533e+00,1.649867e+00
-2.604000e-03,3.055333e+00,1.667467e+00
-2.600500e-03,3.127067e+00,1.690133e+00
-2.597000e-03,3.207333e+00,1.702267e+00
-2.593500e-03,3.290400e+00,1.730267e+00
-2.590000e-03,3.370933e+00,1.750933e+00
-2.586500e-03,3.444667e+00,1.775600e+00
-2.583000e-03,3.506000e+00,1.800533e+00
-2.579500e-03,3.579733e+00,1.837867e+00
-2.576000e-03,3.645200e+00,1.854267e+00
-2.572500e-03,3.719200e+00,1.886000e+00
-2.569000e-03,3.792667e+00,1.918000e+00
-2.565500e-03,3.852000e+00,1.946533e+00
-2.562000e-03,3.937067e+00,1.981600e+00
-2.558500e-03,3.985200e+00,2.011733e+00
-2.555000e-03,4.050533e+00,2.040533e+00
-2.551500e-03,4.112933e+00,2.068800e+00
-2.548000e-03,4.179467e+00,2.102267e+00
-2.544500e-03,4.235333e+00,2.136800e+00
-2.541000e-03,4.294133e+00,2.173867e+00
