Time(s),CH1V,CH2V
-2.631200e-04,4.453333e-02,-2.726667e-01
-2.626000e-04,-3.426667e-02,-2.826667e-01
-2.620800e-04,-1.025333e-01,-2.814667e-01
-2.615600e-04,-1.728000e-01,-2.872000e-01
-2.610400e-04,-2.401333e-01,-2.833333e-01
-2.605200e-04,-3.112000e-01,-2.881333e-01
-2.600000e-04,-3.872000e-01,-2.977333e-01
-2.594800e-04,-4.457333e-01,-2.969333e-01
-2.589600e-04,-5.333334e-01,-2.976000e-01
-2.584400e-04,-5.956000e-01,-3.013333e-01
-2.579200e-04,-6.617333e-01,-3.046667e-01
-2.574000e-04,-7.269334e-01,-3.088000e-01
-2.568800e-04,-7.862667e-01,-2.968000e-01
-2.563600e-04,-8.610667e-01,-3.072000e-01
-2.558400e-04,-9.209334e-01,-3.104000e-01
-2.553200e-04,-9.866667e-01,-3.096000e-01
-2.548000e-04,-1.047333e+00,-3.088000e-01
-2.542800e-04,-1.109467e+00,-3.033333e-01
-2.537600e-04,-1.170933e+00,-3.225333e-01
-2.532400e-04,-1.230000e+00,-3.024000e-01
-2.527200e-04,-1.286533e+00,-3.069333e-01
-2.522000e-04,-1.352400e+00,-3.085333e-01
-2.516800e-04,-1.410667e+00,-3.108000e-01
-2.511600e-04,-1.459600e+00,-3.005333e-01
-2.506400e-04,-1.512533e+00,-2.945333e-01
-2.501200e-04,-1.578533e+00,-2.970667e-01
-2.496000e-04,-1.621733e+00,-3.046667e-01
-2.490800e-04,-1.667067e+00,-3.030667e-01
-2.485600e-04,-1.713867e+00,-2.864000e-01
-2.480400e-04,-1.759200e+00,-2.933333e-01
-2.475200e-04,-1.816800e+00,-2.837333e-01
-2.470000e-04,-1.839333e+00,-2.809334e-01
-2.464800e-04,-1.881600e+00,-2.729333e-01
-2.459600e-04,-1.933333e+00,-2.688000e-01
-2.454400e-04,-1.967200e+00,-2.590667e-01
-2.449200e-04,-2.001067e+00,-2.554667e-01
-2.444000e-04,-2.030133e+00,-2.552000e-01
-2.438800e-04,-2.069467e+00,-2.656000e-01
-2.433600e-04,-2.094933e+00,-2.481333e-01
-2.428400e-04,-2.119200e+00,-2.406667e-01
-2.423200e-04,-2.154933e+00,-2.405333e-01
-2.418000e-04,-2.166800e+00,-2.321333e-01
-2.412800e-04,-2.184933e+00,-2.242667e-01
-2.407600e-04,-2.205733e+00,-2.133333e-01
-2.402400e-04,-2.226133e+00,-2.170667e-01
-2.397200e-04,-2.250933e+00,-2.044000e-01
-2.392000e-04,-2.261600e+00,-1.992000e-01
-2.386800e-04,-2.278133e+00,-1.856000e-01
-2.381600e-04,-2.278800e+00,-1.737333e-01
-2.376400e-04,-2.282533e+00,-1.764000e-01
-2.371200e-04,-2.291600e+00,-1.630667e-01
-2.366000e-04,-2.284133e+00,-1.560000e-01
-2.360800e-04,-2.286400e+00,-1.405333e-01
-2.355600e-04,-2.293600e+00,-1.416000e-01
-2.350400e-04,-2.286400e+00,-1.354667e-01
-2.345200e-04,-2.279600e+00,-1.266667e-01
-2.340000e-04,-2.257333e+00,-1.201333e-01
-2.334800e-04,-2.247867e+00,-1.132000e-01
-2.329600e-04,-2.234400e+00,-1.002667e-01
-2.324400e-04,-2.222933e+00,-9.293333e-02
-2.319200e-04,-2.204133e+00,-9.240000e-02
-2.314000e-04,-2.187333e+00,-8.293334e-02
-2.308800e-04,-2.165067e+00,-6.680000e-02
-2.303600e-04,-2.135200e+00,-6.080000e-02
-2.298400e-04,-2.113067e+00,-5.226667e-02
-2.293200e-04,-2.087467e+00,-4.546667e-02
-2.288000e-04,-2.065467e+00,-3.453333e-02
-2.282800e-04,-2.017600e+00,-3.346667e-02
-2.277600e-04,-1.990000e+00,-1.933333e-02
-2.272400e-04,-1.953200e+00,-1.040000e-02
-2.267200e-04,-1.906400e+00,3.200000e-03
-2.262000e-04,-1.872400e+00,8.666667e-03
-2.256800e-04,-1.830267e+00,2.013333e-02
-2.251600e-04,-1.790267e+00,2.960000e-02
-2.246400e-04,-1.732533e+00,3.760000e-02
-2.241200e-04,-1.706133e+00,4.613334e-02
-2.236000e-04,-1.651600e+00,5.093333e-02
-2.230800e-04,-1.596000e+00,5.080000e-02
-2.225600e-04,-1.550933e+00,6.960000e-02
-2.220400e-04,-1.497600e+00,7.080000e-02
-2.215200e-04,-1.434267e+00,8.026667e-02
-2.210000e-04,-1.376533e+00,9.466667e-02
-2.204800e-04,-1.320933e+00,9.506667e-02
-2.199600e-04,-1.270667e+00,9.213334e-02
-2.194400e-04,-1.204667e+00,1.096000e-01
-2.189200e-04,-1.146933e+00,1.177333e-01
-2.184000e-04,-1.079467e+00,1.296000e-01
-2.178800e-04,-1.031467e+00,1.318667e-01
-2.173600e-04,-9.609333e-01,1.413333e-01
-2.168400e-04,-8.973333e-01,1.556000e-01
-2.163200e-04,-8.321334e-01,1.573333e-01
-2.158000e-04,-7.633333e-01,1.576000e-01
-2.152800e-04,-6.920000e-01,1.804000e-01
-2.147600e-04,-6.260000e-01,1.789333e-01
-2.142400e-04,-5.861334e-01,1.936000e-01
-2.137200e-04,-4.917333e-01,1.965333e-01
-2.132000e-04,-4.288000e-01,2.006667e-01
-2.126800e-04,-3.450667e-01,2.105333e-01
-2.121600e-04,-2.836000e-01,2.085333e-01
-2.116400e-04,-2.104000e-01,2.089333e-01
-2.111200e-04,-1.434667e-01,2.106667e-01
-2.106000e-04,-6.866667e-02,2.260000e-01
-2.100800e-04,-7.466667e-03,2.233333e-01
-2.095600e-04,6.973334e-02,2.346667e-01
-2.090400e-04,1.422667e-01,2.365333e-01
-2.085200e-04,2.074667e-01,2.310667e-01
-2.080000e-04,2.781333e-01,2.414667e-01
-2.074800e-04,3.518667e-01,2.373333e-01
-2.069600e-04,4.197333e-01,2.404000e-01
-2.064400e-04,4.929333e-01,2.446667e-01
-2.059200e-04,5.576000e-01,2.472000e-01
-2.054000e-04,6.238667e-01,2.501333e-01
-2.048800e-04,6.916000e-01,2.556000e-01
-2.043600e-04,7.589334e-01,2.560000e-01
-2.038400e-04,8.282667e-01,2.489333e-01
-2.033200e-04,8.954667e-01,2.509333e-01
-2.028000e-04,9.590667e-01,2.476000e-01
-2.022800e-04,1.019733e+00,2.494667e-01
-2.017600e-04,1.074933e+00,2.614667e-01
-2.012400e-04,1.144667e+00,2.541333e-01
-2.007200e-04,1.207467e+00,2.593333e-01
-2.002000e-04,1.266800e+00,2.460000e-01
-1.996800e-04,1.323200e+00,2.582667e-01
-1.991600e-04,1.375067e+00,2.446667e-01
-1.986400e-04,1.435467e+00,2.478667e-01
-1.981200e-04,1.491600e+00,2.433333e-01
-1.976000e-04,1.544133e+00,2.452000e-01
-1.970800e-04,1.598267e+00,2.469333e-01
-1.965600e-04,1.642933e+00,2.445333e-01
-1.960400e-04,1.687200e+00,2.297333e-01
-1.955200e-04,1.732667e+00,2.389333e-01
-1.950000e-04,1.774000e+00,2.274667e-01
-1.944800e-04,1.818800e+00,2.208000e-01
-1.939600e-04,1.872400e+00,2.196000e-01
-1.934400e-04,1.904533e+00,2.252000e-01
-1.929200e-04,1.936400e+00,2.233333e-01
-1.924000e-04,1.976667e+00,2.078667e-01
-1.918800e-04,2.007333e+00,2.084000e-01
-1.913600e-04,2.046400e+00,2.116000e-01
-1.908400e-04,2.076267e+00,1.992000e-01
-1.903200e-04,2.094667e+00,1.886667e-01
-1.898000e-04,2.125067e+00,1.836000e-01
-1.892800e-04,2.148400e+00,1.762667e-01
-1.887600e-04,2.171600e+00,1.789333e-01
-1.882400e-04,2.185733e+00,1.589333e-01
-1.877200e-04,2.203067e+00,1.680000e-01
-1.872000e-04,2.219867e+00,1.553333e-01
-1.866800e-04,2.240933e+00,1.492000e-01
-1.861600e-04,2.247733e+00,1.405333e-01
-1.856400e-04,2.255867e+00,1.366667e-01
-1.851200e-04,2.263733e+00,1.265333e-01
-1.846000e-04,2.260933e+00,1.137333e-01
-1.840800e-04,2.276133e+00,1.105333e-01
-1.835600e-04,2.259467e+00,1.022667e-01
-1.830400e-04,2.264400e+00,9.946667e-02
-1.825200e-04,2.264133e+00,8.586667e-02
-1.820000e-04,2.255867e+00,6.973334e-02
-1.814800e-04,2.249733e+00,6.333333e-02
-1.809600e-04,2.241467e+00,5.813333e-02
-1.804400e-04,2.219733e+00,4.333333e-02
-1.799200e-04,2.213600e+00,3.853333e-02
-1.794000e-04,2.189333e+00,3.720000e-02
-1.788800e-04,2.177733e+00,2.573333e-02
-1.783600e-04,2.148133e+00,1.706667e-02
-1.778400e-04,2.124667e+00,4.533333e-03
-1.773200e-04,2.104400e+00,-8.000000e-04
-1.768000e-04,2.071200e+00,-2.933333e-03
-1.762800e-04,2.034400e+00,-1.826667e-02
-1.757600e-04,2.023067e+00,-2.666667e-02
-1.752400e-04,1.980133e+00,-3.466667e-02
-1.747200e-04,1.939067e+00,-4.013333e-02
-1.742000e-04,1.909333e+00,-5.240000e-02
-1.736800e-04,1.868667e+00,-5.493334e-02
-1.731600e-04,1.826800e+00,-6.760000e-02
-1.726400e-04,1.770400e+00,-8.840000e-02
-1.721200e-04,1.740667e+00,-8.720000e-02
-1.716000e-04,1.684133e+00,-9.880000e-02
-1.710800e-04,1.643333e+00,-9.200000e-02
-1.705600e-04,1.587333e+00,-1.108000e-01
-1.700400e-04,1.533467e+00,-1.096000e-01
-1.695200e-04,1.493467e+00,-1.388000e-01
-1.690000e-04,1.432667e+00,-1.284000e-01
-1.684800e-04,1.378933e+00,-1.417333e-01
-1.679600e-04,1.317333e+00,-1.490667e-01
-1.674400e-04,1.268400e+00,-1.486667e-01
-1.669200e-04,1.202267e+00,-1.600000e-01
-1.664000e-04,1.146933e+00,-1.634667e-01
-1.658800e-04,1.082800e+00,-1.844000e-01
-1.653600e-04,1.028133e+00,-1.808000e-01
-1.648400e-04,9.726667e-01,-1.845333e-01
-1.643200e-04,8.946667e-01,-1.920000e-01
-1.638000e-04,8.240000e-01,-2.114667e-01
-1.632800e-04,7.745333e-01,-2.154667e-01
-1.627600e-04,7.030666e-01,-2.245333e-01
-1.622400e-04,6.341333e-01,-2.177333e-01
-1.617200e-04,5.661333e-01,-2.212000e-01
-1.612000e-04,4.796000e-01,-2.456000e-01
-1.606800e-04,4.170667e-01,-2.454667e-01
-1.601600e-04,3.624000e-01,-2.462667e-01
-1.596400e-04,2.838667e-01,-2.654667e-01
-1.591200e-04,2.094667e-01,-2.625333e-01
