Time(s),CH1V,CH2V
-3.000000e-03,4.561600e+00,3.936400e+00
-2.994000e-03,4.510400e+00,3.929467e+00
-2.988000e-03,4.480134e+00,3.959467e+00
-2.982000e-03,4.436000e+00,3.957200e+00
-2.976000e-03,4.389467e+00,3.964133e+00
-2.970000e-03,4.345200e+00,3.952533e+00
-2.964000e-03,4.280133e+00,3.957200e+00
-2.958000e-03,4.221867e+00,3.964133e+00
-2.952000e-03,4.166000e+00,3.964133e+00
-2.946000e-03,4.107867e+00,3.913200e+00
-2.940000e-03,4.045067e+00,3.936400e+00
-2.934000e-03,3.993867e+00,3.931733e+00
-2.928000e-03,3.914667e+00,3.917867e+00
-2.922000e-03,3.844933e+00,3.906267e+00
-2.916000e-03,3.761067e+00,3.901600e+00
-2.910000e-03,3.728533e+00,3.876267e+00
-2.904000e-03,3.654133e+00,3.873867e+00
-2.898000e-03,3.598267e+00,3.853067e+00
-2.892000e-03,3.509867e+00,3.823067e+00
-2.886000e-03,3.446933e+00,3.795333e+00
-2.880000e-03,3.363200e+00,3.779067e+00
-2.874000e-03,3.267733e+00,3.756000e+00
-2.868000e-03,3.209600e+00,3.732800e+00
-2.862000e-03,3.139733e+00,3.682000e+00
-2.856000e-03,3.056000e+00,3.672667e+00
-2.850000e-03,2.974533e+00,3.628800e+00
-2.844000e-03,2.895467e+00,3.608000e+00
-2.838000e-03,2.823333e+00,3.568667e+00
-2.832000e-03,2.737200e+00,3.547867e+00
-2.826000e-03,2.674400e+00,3.494667e+00
-2.820000e-03,2.590667e+00,3.492400e+00
-2.814000e-03,2.504533e+00,3.427600e+00
-2.808000e-03,2.432400e+00,3.399867e+00
-2.802000e-03,2.327600e+00,3.337467e+00
-2.796000e-03,2.262533e+00,3.323467e+00
-2.790000e-03,2.176400e+00,3.272667e+00
-2.784000e-03,2.115867e+00,3.240267e+00
-2.778000e-03,2.027467e+00,3.180133e+00
-2.772000e-03,1.941333e+00,3.150133e+00
-2.766000e-03,1.855200e+00,3.094533e+00
-2.760000e-03,1.799333e+00,3.066800e+00
-2.754000e-03,1.718000e+00,3.013600e+00
-2.748000e-03,1.643467e+00,2.974400e+00
-2.742000e-03,1.569067e+00,2.914267e+00
-2.736000e-03,1.489867e+00,2.874933e+00
-2.730000e-03,1.431733e+00,2.824000e+00
-2.724000e-03,1.359600e+00,2.787067e+00
-2.718000e-03,1.275867e+00,2.731467e+00
-2.712000e-03,1.233867e+00,2.756933e+00
-2.706000e-03,1.145467e+00,2.625200e+00
-2.700000e-03,1.096667e+00,2.597467e+00
-2.694000e-03,1.022133e+00,2.498000e+00
-2.688000e-03,9.662667e-01,2.509467e+00
-2.682000e-03,8.941333e-01,2.444800e+00
-2.676000e-03,8.569334e-01,2.417067e+00
-2.670000e-03,7.824000e-01,2.354533e+00
-2.664000e-03,7.498667e-01,2.345333e+00
-2.658000e-03,6.870667e-01,2.259733e+00
-2.652000e-03,6.474667e-01,2.225067e+00
-2.646000e-03,5.822667e-01,2.155733e+00
-2.640000e-03,5.312000e-01,2.128000e+00
-2.634000e-03,4.938667e-01,2.072533e+00
-2.628000e-03,4.544000e-01,2.040133e+00
-2.622000e-03,4.148000e-01,1.986933e+00
-2.616000e-03,3.705333e-01,1.947600e+00
-2.610000e-03,3.520000e-01,1.894400e+00
-2.604000e-03,3.100000e-01,1.889733e+00
-2.598000e-03,2.868000e-01,1.806533e+00
-2.592000e-03,2.774667e-01,1.785733e+00
-2.586000e-03,2.356000e-01,1.741733e+00
-2.580000e-03,2.006667e-01,1.718667e+00
-2.574000e-03,1.913333e-01,1.658533e+00
-2.568000e-03,1.890667e-01,1.651600e+00
-2.562000e-03,1.657333e-01,1.584533e+00
-2.556000e-03,1.565333e-01,1.561467e+00
-2.550000e-03,1.541333e-01,1.522133e+00
-2.544000e-03,1.448000e-01,1.510533e+00
-2.538000e-03,1.332000e-01,1.457333e+00
-2.532000e-03,1.494667e-01,1.436533e+00
-2.526000e-03,1.378667e-01,1.394933e+00
-2.520000e-03,1.448000e-01,1.385600e+00
-2.514000e-03,1.425333e-01,1.341733e+00
-2.508000e-03,1.518667e-01,1.337067e+00
-2.502000e-03,1.728000e-01,1.302400e+00
-2.496000e-03,1.866667e-01,1.286267e+00
-2.490000e-03,2.053333e-01,1.251467e+00
-2.484000e-03,2.309333e-01,1.235333e+00
-2.478000e-03,2.425333e-01,1.212267e+00
-2.472000e-03,2.774667e-01,1.212267e+00
-2.466000e-03,3.054667e-01,1.200667e+00
-2.460000e-03,3.333333e-01,1.172933e+00
-2.454000e-03,3.542667e-01,1.159067e+00
-2.448000e-03,4.008000e-01,1.159067e+00
-2.442000e-03,4.380000e-01,1.140533e+00
-2.436000e-03,4.800000e-01,1.145200e+00
-2.430000e-03,5.125334e-01,1.122000e+00
-2.424000e-03,5.706667e-01,1.133600e+00
-2.418000e-03,6.056000e-01,1.105867e+00
-2.412000e-03,6.474667e-01,1.117467e+00
-2.406000e-03,7.010667e-01,1.096533e+00
-2.400000e-03,7.685333e-01,1.131333e+00
-2.394000e-03,7.941334e-01,1.108133e+00
-2.388000e-03,8.685333e-01,1.133600e+00
-2.382000e-03,9.360000e-01,1.133600e+00
-2.376000e-03,9.942667e-01,1.133600e+00
-2.370000e-03,1.045467e+00,1.149733e+00
