Time(s),CH1V,CH2V
-7.500000e-04,4.545333e+00,2.902667e+00
-7.485000e-04,4.491200e+00,2.926933e+00
-7.470000e-04,4.459200e+00,2.879467e+00
-7.455000e-04,4.413333e+00,2.872533e+00
-7.440000e-04,4.361467e+00,2.865600e+00
-7.425000e-04,4.302134e+00,2.868000e+00
-7.410000e-04,4.260267e+00,2.859867e+00
-7.395000e-04,4.207867e+00,2.856400e+00
-7.380000e-04,4.140400e+00,2.861067e+00
-7.365000e-04,4.104933e+00,2.843067e+00
-7.350000e-04,4.045067e+00,2.837867e+00
-7.335000e-04,3.989200e+00,2.825200e+00
-7.320000e-04,3.917067e+00,2.803200e+00
-7.305000e-04,3.856533e+00,2.795067e+00
-7.290000e-04,3.789067e+00,2.790533e+00
-7.275000e-04,3.730267e+00,2.785333e+00
-7.260000e-04,3.663333e+00,2.789333e+00
-7.245000e-04,3.590667e+00,2.763867e+00
-7.230000e-04,3.526133e+00,2.755867e+00
-7.215000e-04,3.447600e+00,2.743067e+00
-7.200000e-04,3.372533e+00,2.729200e+00
-7.185000e-04,3.311467e+00,2.719333e+00
-7.170000e-04,3.234000e+00,2.707200e+00
-7.155000e-04,3.154400e+00,2.698533e+00
-7.140000e-04,3.088667e+00,2.696800e+00
-7.125000e-04,3.010000e+00,2.678400e+00
-7.110000e-04,2.936133e+00,2.660933e+00
-7.095000e-04,2.860533e+00,2.648267e+00
-7.080000e-04,2.781467e+00,2.648267e+00
-7.065000e-04,2.708133e+00,2.622800e+00
-7.050000e-04,2.633600e+00,2.621733e+00
-7.035000e-04,2.546400e+00,2.611867e+00
-7.020000e-04,2.483600e+00,2.581200e+00
-7.005000e-04,2.399200e+00,2.573067e+00
-6.990000e-04,2.324133e+00,2.561600e+00
-6.975000e-04,2.241600e+00,2.588133e+00
-6.960000e-04,2.155467e+00,2.528000e+00
-6.945000e-04,2.088000e+00,2.517067e+00
-6.930000e-04,2.018133e+00,2.511867e+00
-6.915000e-04,1.934933e+00,2.491067e+00
-6.900000e-04,1.871600e+00,2.481733e+00
-6.885000e-04,1.791867e+00,2.466800e+00
-6.870000e-04,1.709867e+00,2.451733e+00
-6.855000e-04,1.638800e+00,2.434400e+00
-6.840000e-04,1.559733e+00,2.407733e+00
-6.825000e-04,1.496267e+00,2.412933e+00
-6.810000e-04,1.422400e+00,2.399733e+00
-6.795000e-04,1.358933e+00,2.380667e+00
