Time(s),CH1V,CH2V
-6.448000e-02,4.986933e+00,4.898133e+00
-6.435600e-02,4.986400e+00,4.915867e+00
-6.423200e-02,5.007600e+00,4.922667e+00
-6.410800e-02,4.993600e+00,4.934000e+00
-6.398400e-02,4.994534e+00,4.923200e+00
-6.386000e-02,4.995467e+00,4.931334e+00
-6.373600e-02,4.987733e+00,4.941200e+00
-6.361200e-02,4.977200e+00,4.930267e+00
-6.348800e-02,4.964933e+00,4.920000e+00
-6.336400e-02,4.960000e+00,4.914400e+00
-6.324000e-02,4.940933e+00,4.904133e+00
-6.311600e-02,4.920533e+00,4.883200e+00
-6.299200e-02,4.902400e+00,4.870133e+00
-6.286800e-02,4.884667e+00,4.856534e+00
-6.274400e-02,4.852000e+00,4.828533e+00
-6.262000e-02,4.818400e+00,4.811200e+00
-6.249600e-02,4.786667e+00,4.777867e+00
-6.237200e-02,4.762134e+00,4.754667e+00
-6.224800e-02,4.730800e+00,4.727867e+00
-6.212400e-02,4.684534e+00,4.691600e+00
-6.200000e-02,4.646000e+00,4.646000e+00
-6.187600e-02,4.611600e+00,4.617867e+00
-6.175200e-02,4.571600e+00,4.582933e+00
-6.162800e-02,4.518133e+00,4.532667e+00
-6.150400e-02,4.474000e+00,4.486400e+00
-6.138000e-02,4.414667e+00,4.435333e+00
-6.125600e-02,4.370267e+00,4.387333e+00
-6.113200e-02,4.307600e+00,4.346133e+00
-6.100800e-02,4.252133e+00,4.294933e+00
-6.088400e-02,4.194533e+00,4.239600e+00
-6.076000e-02,4.122000e+00,4.170400e+00
-6.063600e-02,4.075334e+00,4.136800e+00
-6.051200e-02,4.006267e+00,4.062267e+00
-6.038800e-02,3.951333e+00,4.006533e+00
-6.026400e-02,3.895067e+00,3.940400e+00
-6.014000e-02,3.811067e+00,3.880533e+00
-6.001600e-02,3.743467e+00,3.812533e+00
-5.989200e-02,3.665067e+00,3.741067e+00
-5.976800e-02,3.595600e+00,3.683467e+00
-5.964400e-02,3.519333e+00,3.602800e+00
-5.952000e-02,3.457200e+00,3.522667e+00
-5.939600e-02,3.382800e+00,3.462000e+00
-5.927200e-02,3.298800e+00,3.390800e+00
-5.914800e-02,3.217600e+00,3.319333e+00
-5.902400e-02,3.149067e+00,3.241867e+00
-5.890000e-02,3.062400e+00,3.176267e+00
-5.877600e-02,2.981600e+00,3.087867e+00
-5.865200e-02,2.917200e+00,3.014133e+00
-5.852800e-02,2.832933e+00,2.937600e+00
-5.840400e-02,2.745200e+00,2.859200e+00
-5.828000e-02,2.670000e+00,2.777733e+00
-5.815600e-02,2.575067e+00,2.701467e+00
-5.803200e-02,2.499333e+00,2.625067e+00
-5.790800e-02,2.419067e+00,2.551600e+00
-5.778400e-02,2.338133e+00,2.477067e+00
-5.766000e-02,2.263867e+00,2.376800e+00
-5.753600e-02,2.191733e+00,2.317067e+00
-5.741200e-02,2.095467e+00,2.234133e+00
-5.728800e-02,2.019733e+00,2.147733e+00
-5.716400e-02,1.944933e+00,2.060267e+00
-5.704000e-02,1.866800e+00,1.996400e+00
-5.691600e-02,1.797467e+00,1.920800e+00
-5.679200e-02,1.709867e+00,1.842800e+00
-5.666800e-02,1.638533e+00,1.764933e+00
-5.654400e-02,1.560133e+00,1.688800e+00
-5.642000e-02,1.481067e+00,1.624933e+00
-5.629600e-02,1.418400e+00,1.539333e+00
-5.617200e-02,1.332800e+00,1.475467e+00
-5.604800e-02,1.269333e+00,1.393067e+00
-5.592400e-02,1.198533e+00,1.319733e+00
-5.580000e-02,1.131733e+00,1.249067e+00
-5.567600e-02,1.066000e+00,1.187867e+00
-5.555200e-02,9.952000e-01,1.115067e+00
-5.542800e-02,9.284000e-01,1.057067e+00
-5.530400e-02,8.644000e-01,9.940000e-01
-5.518000e-02,8.073334e-01,9.184000e-01
-5.505600e-02,7.696000e-01,8.686666e-01
-5.493200e-02,7.025334e-01,8.116000e-01
-5.480800e-02,6.357334e-01,7.526667e-01
-5.468400e-02,5.886667e-01,6.938667e-01
-5.456000e-02,5.418667e-01,6.421334e-01
-5.443600e-02,4.882667e-01,5.878667e-01
-5.431200e-02,4.465334e-01,5.361333e-01
-5.418800e-02,4.008000e-01,4.940000e-01
-5.406400e-02,3.626667e-01,4.433333e-01
-5.394000e-02,3.194667e-01,3.908000e-01
-5.381600e-02,2.873333e-01,3.645333e-01
-5.369200e-02,2.333333e-01,3.060000e-01
-5.356800e-02,2.061333e-01,2.802667e-01
-5.344400e-02,1.670667e-01,2.390667e-01
-5.332000e-02,1.357333e-01,2.118667e-01
-5.319600e-02,1.190667e-01,1.766667e-01
-5.307200e-02,8.586667e-02,1.502667e-01
-5.294800e-02,7.813334e-02,1.285333e-01
-5.282400e-02,4.586667e-02,1.013333e-01
-5.270000e-02,4.040000e-02,8.960000e-02
-5.257600e-02,2.226667e-02,5.826667e-02
-5.245200e-02,1.693333e-02,3.480000e-02
-5.232800e-02,1.866667e-03,2.746667e-02
-5.220400e-02,-1.080000e-02,1.493333e-02
-5.208000e-02,-7.200000e-03,3.600000e-03
-5.195600e-02,-9.466667e-03,1.866667e-03
-5.183200e-02,-2.306667e-02,-1.413333e-02
-5.170800e-02,-3.066667e-03,-1.466667e-03
-5.158400e-02,-4.533333e-03,-1.680000e-02
-5.146000e-02,1.093333e-02,3.600000e-03
-5.133600e-02,1.053333e-02,5.333333e-03
-5.121200e-02,3.186667e-02,3.600000e-03
-5.108800e-02,4.280000e-02,1.720000e-02
-5.096400e-02,7.040000e-02,4.840000e-02
-5.084000e-02,8.360000e-02,6.013333e-02
-5.071600e-02,1.180000e-01,7.373334e-02
-5.059200e-02,1.366667e-01,9.786667e-02
-5.046800e-02,1.706667e-01,1.186667e-01
-5.034400e-02,1.993333e-01,1.390667e-01
-5.022000e-02,2.265333e-01,1.778667e-01
-5.009600e-02,2.782667e-01,2.050667e-01
-4.997200e-02,3.118667e-01,2.345333e-01
-4.984800e-02,3.490667e-01,2.712000e-01
-4.972400e-02,3.804000e-01,3.102667e-01
-4.960000e-02,4.261333e-01,3.386667e-01
-4.947600e-02,4.833333e-01,3.854667e-01
-4.935200e-02,5.336000e-01,4.410667e-01
-4.922800e-02,5.804000e-01,4.750667e-01
-4.910400e-02,6.316000e-01,5.302667e-01
-4.898000e-02,7.006667e-01,5.878667e-01
-4.885600e-02,7.465333e-01,6.334667e-01
-4.873200e-02,8.028000e-01,6.901333e-01
-4.860800e-02,8.553333e-01,7.458667e-01
-4.848400e-02,9.298667e-01,7.934667e-01
-4.836000e-02,9.842667e-01,8.528000e-01
-4.823600e-02,1.055200e+00,9.229333e-01
-4.811200e-02,1.120400e+00,9.941334e-01
-4.798800e-02,1.192933e+00,1.053867e+00
-4.786400e-02,1.271067e+00,1.115867e+00
-4.774000e-02,1.331333e+00,1.174400e+00
-4.761600e-02,1.399467e+00,1.244933e+00
-4.749200e-02,1.480667e+00,1.316000e+00
-4.736800e-02,1.549600e+00,1.393600e+00
-4.724400e-02,1.625867e+00,1.467733e+00
-4.712000e-02,1.696667e+00,1.543467e+00
-4.699600e-02,1.785200e+00,1.618267e+00
-4.687200e-02,1.850000e+00,1.689200e+00
-4.674800e-02,1.934400e+00,1.758133e+00
-4.662400e-02,2.013867e+00,1.836000e+00
-4.650000e-02,2.084667e+00,1.921600e+00
-4.637600e-02,2.179867e+00,2.005467e+00
-4.625200e-02,2.259733e+00,2.086533e+00
-4.612800e-02,2.343200e+00,2.154933e+00
-4.600400e-02,2.414933e+00,2.233333e+00
-4.588000e-02,2.502000e+00,2.329333e+00
-4.575600e-02,2.589067e+00,2.397600e+00
-4.563200e-02,2.654000e+00,2.474267e+00
-4.550800e-02,2.748933e+00,2.558933e+00
-4.538400e-02,2.830000e+00,2.646267e+00
-4.526000e-02,2.903600e+00,2.712000e+00
-4.513600e-02,2.976267e+00,2.788533e+00
-4.501200e-02,3.063867e+00,2.886000e+00
-4.488800e-02,3.139600e+00,2.951067e+00
-4.476400e-02,3.210400e+00,3.026800e+00
-4.464000e-02,3.284800e+00,3.119600e+00
-4.451600e-02,3.369333e+00,3.184267e+00
-4.439200e-02,3.454000e+00,3.269467e+00
-4.426800e-02,3.525733e+00,3.338800e+00
-4.414400e-02,3.587467e+00,3.408533e+00
-4.402000e-02,3.665867e+00,3.493333e+00
