Freq(Hz),Gain(dB),Phase
100.000000,-0.291133,-4.211986
125.892541,-0.214449,4.188518
158.489319,0.120028,-2.964443
199.526231,0.197233,-1.739075
251.188643,-0.191715,-3.556981
316.227766,-0.133450,-6.274749
398.107170,0.169049,-5.064734
501.187233,-0.256696,-6.948139
630.957344,-0.229855,-7.039288
794.328234,0.207306,-7.831201
1000.000000,-0.113685,-9.438570
1258.925411,-0.266142,-12.958569
1584.893192,-0.367082,-15.162236
1995.262314,-0.572850,-18.991024
2511.886431,-1.141320,-31.955564
3162.277660,-1.415839,-34.300949
3981.071705,-2.138748,-36.225403
5011.872336,-3.015819,-45.285782
6309.573444,-3.908391,-51.187038
7943.282347,-5.426552,-52.465290
10000.000000,-7.153288,-55.321922
12589.254117,-9.244587,-63.566097
15848.931924,-10.882376,-59.776886
19952.623149,-12.918347,-57.045906
25118.864315,-13.765869,-71.440643
31622.776601,-16.194897,-76.070541
39810.717055,-18.441986,-71.017052
50118.723362,-18.442957,-83.900291
63095.734448,-19.923965,-82.130348
79432.823472,-23.544977,-71.159348
100000.000000,-26.521969,-67.774590
125892.541179,-34.935139,-77.786552
158489.319246,-33.395950,-83.400558
199526.231496,-31.988148,-95.483505
251188.643150,-29.967331,-102.682747
316227.766016,-33.619263,-92.038452
398107.170553,-38.292530,-74.750443
501187.233627,-39.936230,-80.160782
630957.344480,-34.829254,-76.934021
794328.234724,-38.331383,-94.298271
1000000.000000,-47.076000,-63.506222
