Time(s),CH1V,CH2V
-5.000000e-04,2.052800e+00,2.313467e+00
-4.995000e-04,2.135067e+00,2.300400e+00
-4.990000e-04,2.227600e+00,2.310000e+00
-4.985000e-04,2.320533e+00,2.300933e+00
-4.980000e-04,2.415867e+00,2.304400e+00
-4.975000e-04,2.508267e+00,2.302667e+00
-4.970000e-04,2.589467e+00,2.306667e+00
-4.965000e-04,2.687467e+00,2.308933e+00
-4.960000e-04,2.781067e+00,2.311200e+00
-4.955000e-04,2.861067e+00,2.320800e+00
-4.950000e-04,2.966000e+00,2.305467e+00
-4.945000e-04,3.048267e+00,2.312267e+00
-4.940000e-04,3.137333e+00,2.322533e+00
-4.935000e-04,3.220133e+00,2.314533e+00
-4.930000e-04,3.309733e+00,2.316800e+00
-4.925000e-04,3.394800e+00,2.322533e+00
-4.920000e-04,3.484400e+00,2.336133e+00
-4.915000e-04,3.566133e+00,2.327067e+00
-4.910000e-04,3.651200e+00,2.332667e+00
-4.905000e-04,3.730000e+00,2.330933e+00
-4.900000e-04,3.804267e+00,2.340667e+00
-4.895000e-04,3.884800e+00,2.345733e+00
-4.890000e-04,3.958533e+00,2.348533e+00
-4.885000e-04,4.032933e+00,2.357067e+00
-4.880000e-04,4.094666e+00,2.376800e+00
-4.875000e-04,4.176400e+00,2.361600e+00
-4.870000e-04,4.235333e+00,2.363200e+00
-4.865000e-04,4.309067e+00,2.366667e+00
-4.860000e-04,4.364667e+00,2.374533e+00
-4.855000e-04,4.427067e+00,2.382533e+00
-4.850000e-04,4.481600e+00,2.383600e+00
-4.845000e-04,4.536533e+00,2.385867e+00
-4.840000e-04,4.578000e+00,2.394933e+00
-4.835000e-04,4.626133e+00,2.398400e+00
-4.830000e-04,4.672133e+00,2.407467e+00
-4.825000e-04,4.712934e+00,2.415867e+00
-4.820000e-04,4.768533e+00,2.431200e+00
-4.815000e-04,4.794667e+00,2.422133e+00
-4.810000e-04,4.821867e+00,2.428933e+00
-4.805000e-04,4.846800e+00,2.438533e+00
-4.800000e-04,4.872933e+00,2.433467e+00
-4.795000e-04,4.895067e+00,2.440800e+00
-4.790000e-04,4.916000e+00,2.458400e+00
-4.785000e-04,4.933067e+00,2.462267e+00
-4.780000e-04,4.952267e+00,2.472000e+00
-4.775000e-04,4.960267e+00,2.475867e+00
-4.770000e-04,4.958000e+00,2.476533e+00
-4.765000e-04,4.959067e+00,2.477600e+00
-4.760000e-04,4.963600e+00,2.476533e+00
-4.755000e-04,4.952933e+00,2.484400e+00
-4.750000e-04,4.947733e+00,2.501333e+00
-4.745000e-04,4.944400e+00,2.491733e+00
-4.740000e-04,4.918267e+00,2.510400e+00
-4.735000e-04,4.923333e+00,2.509867e+00
-4.730000e-04,4.885334e+00,2.512667e+00
-4.725000e-04,4.855333e+00,2.519467e+00
-4.720000e-04,4.818400e+00,2.537600e+00
-4.715000e-04,4.799733e+00,2.538800e+00
-4.710000e-04,4.758267e+00,2.545600e+00
-4.705000e-04,4.723200e+00,2.547200e+00
-4.700000e-04,4.680000e+00,2.564800e+00
-4.695000e-04,4.646533e+00,2.550133e+00
-4.690000e-04,4.591600e+00,2.559200e+00
-4.685000e-04,4.541067e+00,2.563067e+00
-4.680000e-04,4.489467e+00,2.564800e+00
-4.675000e-04,4.432800e+00,2.576667e+00
-4.670000e-04,4.370400e+00,2.570400e+00
-4.665000e-04,4.322134e+00,2.578933e+00
-4.660000e-04,4.246667e+00,2.587467e+00
-4.655000e-04,4.190000e+00,2.589200e+00
-4.650000e-04,4.115200e+00,2.602133e+00
-4.645000e-04,4.043067e+00,2.594800e+00
-4.640000e-04,3.967733e+00,2.585200e+00
-4.635000e-04,3.896800e+00,2.599867e+00
-4.630000e-04,3.825867e+00,2.608933e+00
-4.625000e-04,3.744800e+00,2.605600e+00
-4.620000e-04,3.665867e+00,2.607867e+00
-4.615000e-04,3.587600e+00,2.612400e+00
-4.610000e-04,3.504800e+00,2.614667e+00
-4.605000e-04,3.418133e+00,2.610667e+00
-4.600000e-04,3.323333e+00,2.610133e+00
-4.595000e-04,3.247867e+00,2.612933e+00
-4.590000e-04,3.163467e+00,2.612400e+00
-4.585000e-04,3.068133e+00,2.619733e+00
-4.580000e-04,2.987600e+00,2.610133e+00
-4.575000e-04,2.899067e+00,2.624267e+00
-4.570000e-04,2.802667e+00,2.629333e+00
-4.565000e-04,2.718133e+00,2.613467e+00
-4.560000e-04,2.613200e+00,2.616933e+00
-4.555000e-04,2.524133e+00,2.612400e+00
-4.550000e-04,2.432800e+00,2.623733e+00
-4.545000e-04,2.340400e+00,2.615200e+00
-4.540000e-04,2.250267e+00,2.621467e+00
-4.535000e-04,2.157733e+00,2.620267e+00
-4.530000e-04,2.059600e+00,2.607867e+00
-4.525000e-04,1.972267e+00,2.614000e+00
-4.520000e-04,1.887200e+00,2.612400e+00
-4.515000e-04,1.808400e+00,2.599333e+00
-4.510000e-04,1.711467e+00,2.604400e+00
-4.505000e-04,1.623467e+00,2.602667e+00
-4.500000e-04,1.542400e+00,2.594267e+00
-4.495000e-04,1.456800e+00,2.590800e+00
-4.490000e-04,1.376800e+00,2.589733e+00
-4.485000e-04,1.295067e+00,2.588533e+00
-4.480000e-04,1.208933e+00,2.580667e+00
-4.475000e-04,1.123733e+00,2.578400e+00
-4.470000e-04,1.062533e+00,2.567067e+00
-4.465000e-04,9.882667e-01,2.579467e+00
-4.460000e-04,9.230667e-01,2.578400e+00
-4.455000e-04,8.486667e-01,2.565333e+00
-4.450000e-04,7.710667e-01,2.563600e+00
-4.445000e-04,7.086667e-01,2.554000e+00
-4.440000e-04,6.462667e-01,2.544400e+00
-4.435000e-04,5.832000e-01,2.542133e+00
-4.430000e-04,5.293334e-01,2.543333e+00
-4.425000e-04,4.920000e-01,2.547200e+00
-4.420000e-04,4.261333e-01,2.537600e+00
-4.415000e-04,3.841333e-01,2.531333e+00
-4.410000e-04,3.297333e-01,2.516133e+00
-4.405000e-04,2.860000e-01,2.523467e+00
-4.400000e-04,2.446667e-01,2.512667e+00
-4.395000e-04,2.072000e-01,2.509867e+00
-4.390000e-04,1.777333e-01,2.498000e+00
-4.385000e-04,1.493333e-01,2.492933e+00
-4.380000e-04,1.266667e-01,2.496800e+00
-4.375000e-04,1.040000e-01,2.482667e+00
-4.370000e-04,7.106667e-02,2.475333e+00
-4.365000e-04,5.186667e-02,2.473600e+00
-4.360000e-04,4.733333e-02,2.460667e+00
-4.355000e-04,4.386667e-02,2.468533e+00
-4.350000e-04,3.813333e-02,2.444800e+00
-4.345000e-04,1.840000e-02,2.449333e+00
-4.340000e-04,2.000000e-02,2.447067e+00
-4.335000e-04,1.773333e-02,2.438533e+00
-4.330000e-04,3.360000e-02,2.435733e+00
-4.325000e-04,4.333333e-02,2.430667e+00
-4.320000e-04,6.773333e-02,2.426667e+00
-4.315000e-04,7.453334e-02,2.423200e+00
-4.310000e-04,9.266667e-02,2.405200e+00
-4.305000e-04,1.244000e-01,2.406800e+00
-4.300000e-04,1.448000e-01,2.401733e+00
-4.295000e-04,1.777333e-01,2.393200e+00
