Time(s),CH1V,CH2V
-5.231200e-04,-1.905333e-01,-1.558667e-01
-5.220800e-04,-2.497333e-01,-1.498667e-01
-5.210400e-04,-3.272000e-01,-1.646667e-01
-5.200000e-04,-3.976000e-01,-1.604000e-01
-5.189600e-04,-4.569333e-01,-1.688000e-01
-5.179200e-04,-5.352000e-01,-1.633333e-01
-5.168800e-04,-5.930667e-01,-1.782667e-01
-5.158400e-04,-6.546667e-01,-1.680000e-01
-5.148000e-04,-7.358667e-01,-1.716000e-01
-5.137600e-04,-7.960000e-01,-1.810667e-01
-5.127200e-04,-8.696000e-01,-1.780000e-01
-5.116800e-04,-9.332000e-01,-1.901333e-01
-5.106400e-04,-9.962667e-01,-1.918667e-01
-5.096000e-04,-1.055200e+00,-1.928000e-01
-5.085600e-04,-1.123200e+00,-1.829333e-01
-5.075200e-04,-1.178133e+00,-1.892000e-01
-5.064800e-04,-1.251467e+00,-1.820000e-01
-5.054400e-04,-1.297733e+00,-1.844000e-01
-5.044000e-04,-1.359333e+00,-1.833333e-01
-5.033600e-04,-1.412667e+00,-1.901333e-01
-5.023200e-04,-1.475733e+00,-1.762667e-01
-5.012800e-04,-1.524400e+00,-1.837333e-01
-5.002400e-04,-1.576267e+00,-1.889333e-01
-4.992000e-04,-1.624267e+00,-1.917333e-01
-4.981600e-04,-1.676533e+00,-1.833333e-01
-4.971200e-04,-1.719467e+00,-1.942667e-01
-4.960800e-04,-1.768133e+00,-1.765333e-01
-4.950400e-04,-1.809200e+00,-1.874667e-01
-4.940000e-04,-1.856800e+00,-1.840000e-01
-4.929600e-04,-1.891733e+00,-1.956000e-01
-4.919200e-04,-1.925867e+00,-1.765333e-01
-4.908800e-04,-1.968267e+00,-1.888000e-01
-4.898400e-04,-2.007867e+00,-1.820000e-01
-4.888000e-04,-2.030133e+00,-1.797333e-01
-4.877600e-04,-2.069333e+00,-1.738667e-01
-4.867200e-04,-2.098533e+00,-1.734667e-01
-4.856800e-04,-2.126400e+00,-1.868000e-01
-4.846400e-04,-2.145600e+00,-1.693333e-01
-4.836000e-04,-2.169333e+00,-1.668000e-01
-4.825600e-04,-2.195467e+00,-1.634667e-01
-4.815200e-04,-2.216533e+00,-1.608000e-01
-4.804800e-04,-2.223467e+00,-1.566667e-01
-4.794400e-04,-2.233067e+00,-1.509333e-01
-4.784000e-04,-2.251600e+00,-1.593333e-01
-4.773600e-04,-2.269333e+00,-1.401333e-01
-4.763200e-04,-2.264800e+00,-1.448000e-01
-4.752800e-04,-2.274533e+00,-1.278667e-01
-4.742400e-04,-2.273867e+00,-1.336000e-01
-4.732000e-04,-2.267333e+00,-1.258667e-01
-4.721600e-04,-2.273467e+00,-1.250667e-01
-4.711200e-04,-2.272400e+00,-1.102667e-01
-4.700800e-04,-2.268933e+00,-1.128000e-01
-4.690400e-04,-2.261733e+00,-1.185333e-01
-4.680000e-04,-2.252667e+00,-1.168000e-01
-4.669600e-04,-2.249867e+00,-1.074667e-01
-4.659200e-04,-2.231200e+00,-1.046667e-01
-4.648800e-04,-2.213333e+00,-9.640000e-02
-4.638400e-04,-2.188267e+00,-9.120000e-02
-4.628000e-04,-2.174800e+00,-8.506667e-02
-4.617600e-04,-2.149600e+00,-8.240000e-02
-4.607200e-04,-2.129733e+00,-7.133333e-02
-4.596800e-04,-2.096667e+00,-7.186667e-02
-4.586400e-04,-2.067600e+00,-7.306667e-02
-4.576000e-04,-2.039067e+00,-6.826667e-02
-4.565600e-04,-1.997200e+00,-5.533333e-02
-4.555200e-04,-1.970000e+00,-4.800000e-02
-4.544800e-04,-1.928267e+00,-4.586667e-02
-4.534400e-04,-1.895067e+00,-4.346667e-02
-4.524000e-04,-1.847333e+00,-5.106667e-02
-4.513600e-04,-1.820800e+00,-3.480000e-02
-4.503200e-04,-1.777867e+00,-2.413333e-02
-4.492800e-04,-1.733600e+00,-1.666667e-02
-4.482400e-04,-1.662667e+00,-5.733334e-03
-4.472000e-04,-1.636800e+00,-1.720000e-02
-4.461600e-04,-1.571733e+00,-3.733333e-03
-4.451200e-04,-1.530800e+00,4.000000e-04
-4.440800e-04,-1.474800e+00,5.466667e-03
-4.430400e-04,-1.417333e+00,5.733334e-03
-4.420000e-04,-1.370533e+00,6.666667e-03
-4.409600e-04,-1.310533e+00,1.560000e-02
-4.399200e-04,-1.250933e+00,1.533333e-02
-4.388800e-04,-1.212000e+00,3.440000e-02
-4.378400e-04,-1.125067e+00,3.320000e-02
-4.368000e-04,-1.068400e+00,3.440000e-02
-4.357600e-04,-1.008533e+00,4.773333e-02
-4.347200e-04,-9.444000e-01,3.680000e-02
-4.336800e-04,-8.674667e-01,3.866667e-02
-4.326400e-04,-8.142667e-01,5.426667e-02
-4.316000e-04,-7.378667e-01,4.840000e-02
-4.305600e-04,-6.777334e-01,6.573334e-02
