Freq(Hz),Gain(dB),Phase
100.000000,-23.914062,-81.788071
125.892541,-28.035725,66.235970
158.489319,-24.794907,43.167404
199.526231,-23.204533,33.942265
251.188643,-26.162678,-37.827072
316.227766,-26.226395,41.802578
398.107170,-24.569824,31.283642
501.187233,-27.350117,-37.062950
630.957344,-25.652670,47.770729
794.328234,-23.397568,36.288010
1000.000000,-22.464195,33.301918
1258.925411,-23.455303,42.976234
1584.893192,-22.841475,34.922661
1995.262314,-22.448143,32.113029
2511.886431,-28.588310,-31.140778
3162.277660,-24.564823,50.831898
3981.071705,-21.789574,46.778851
5011.872336,-24.046547,49.135193
6309.573444,-21.321100,58.700279
7943.282347,-19.460373,57.007988
10000.000000,-17.816504,59.118614
12589.254117,-15.425998,66.730087
15848.931924,-14.221632,62.733757
19952.623149,-12.604534,62.278687
25118.864315,-11.944956,64.034348
31622.776601,-9.604940,67.209923
39810.717055,-8.091842,64.043861
50118.723362,-7.150536,58.751213
63095.734448,-5.150958,57.445335
79432.823472,-4.012965,50.060356
100000.000000,-2.834248,43.030521
125892.541179,-1.882777,39.596527
158489.319246,-1.377402,31.238152
199526.231496,-0.939687,23.964790
251188.643150,-0.531452,19.241522
316227.766016,-0.312911,14.871292
398107.170553,-0.165905,10.581936
501187.233627,0.228380,6.492425
630957.344480,0.132926,-5.571702
794328.234724,-0.272138,-7.548701
1000000.000000,-0.222885,-10.555537
