Time(s),CH1V,CH2V
-1.824000e-05,2.394533e+00,2.067333e+00
-1.821000e-05,2.409200e+00,2.041733e+00
-1.818000e-05,2.411467e+00,2.036000e+00
-1.815000e-05,2.413600e+00,2.022133e+00
-1.812000e-05,2.429067e+00,1.986800e+00
-1.809000e-05,2.429733e+00,1.962133e+00
-1.806000e-05,2.420800e+00,1.937733e+00
-1.803000e-05,2.427333e+00,1.903867e+00
-1.800000e-05,2.424800e+00,1.873733e+00
-1.797000e-05,2.409467e+00,1.860533e+00
-1.794000e-05,2.411733e+00,1.810800e+00
-1.791000e-05,2.400133e+00,1.781067e+00
-1.788000e-05,2.380000e+00,1.763333e+00
-1.785000e-05,2.390667e+00,1.716000e+00
-1.782000e-05,2.367733e+00,1.663733e+00
-1.779000e-05,2.336800e+00,1.631600e+00
-1.776000e-05,2.322667e+00,1.602000e+00
-1.773000e-05,2.304667e+00,1.543733e+00
-1.770000e-05,2.279333e+00,1.524000e+00
-1.767000e-05,2.251067e+00,1.479067e+00
-1.764000e-05,2.235467e+00,1.405467e+00
-1.761000e-05,2.200800e+00,1.373600e+00
-1.758000e-05,2.172133e+00,1.331067e+00
-1.755000e-05,2.146933e+00,1.278933e+00
-1.752000e-05,2.091200e+00,1.232267e+00
-1.749000e-05,2.060000e+00,1.187600e+00
-1.746000e-05,2.026667e+00,1.128933e+00
-1.743000e-05,1.998400e+00,1.075733e+00
-1.740000e-05,1.950933e+00,1.037467e+00
-1.737000e-05,1.916667e+00,9.730667e-01
-1.734000e-05,1.873467e+00,9.197333e-01
-1.731000e-05,1.815733e+00,8.582667e-01
-1.728000e-05,1.788133e+00,8.029333e-01
-1.725000e-05,1.737467e+00,7.306667e-01
-1.722000e-05,1.674533e+00,6.912000e-01
-1.719000e-05,1.623867e+00,6.264000e-01
-1.716000e-05,1.582533e+00,5.710667e-01
-1.713000e-05,1.508667e+00,5.128000e-01
-1.710000e-05,1.450933e+00,4.481333e-01
-1.707000e-05,1.406133e+00,3.785333e-01
-1.704000e-05,1.346400e+00,3.226667e-01
-1.701000e-05,1.279467e+00,2.618667e-01
-1.698000e-05,1.231867e+00,2.026667e-01
-1.695000e-05,1.160267e+00,1.413333e-01
-1.692000e-05,1.099333e+00,8.133333e-02
-1.689000e-05,1.038800e+00,1.946667e-02
-1.686000e-05,9.874667e-01,-6.346667e-02
-1.683000e-05,9.072000e-01,-9.986667e-02
-1.680000e-05,8.424000e-01,-1.652000e-01
-1.677000e-05,7.802667e-01,-2.452000e-01
-1.674000e-05,7.134667e-01,-2.901333e-01
-1.671000e-05,6.381333e-01,-3.509333e-01
-1.668000e-05,5.814667e-01,-4.274667e-01
-1.665000e-05,5.033333e-01,-4.810667e-01
-1.662000e-05,4.341334e-01,-5.141333e-01
-1.659000e-05,3.772000e-01,-6.022667e-01
-1.656000e-05,2.997333e-01,-6.620000e-01
-1.653000e-05,2.333333e-01,-7.077333e-01
-1.650000e-05,1.669333e-01,-7.736000e-01
-1.647000e-05,1.053333e-01,-8.345333e-01
-1.644000e-05,2.946667e-02,-8.788000e-01
-1.641000e-05,-5.000000e-02,-9.293333e-01
-1.638000e-05,-1.102667e-01,-1.012800e+00
-1.635000e-05,-1.920000e-01,-1.048400e+00
-1.632000e-05,-2.549333e-01,-1.104000e+00
