Time(s),CH1V,CH2V
-1.500000e-03,4.552400e+00,3.293467e+00
-1.497000e-03,4.506400e+00,3.302667e+00
-1.494000e-03,4.461600e+00,3.307333e+00
-1.491000e-03,4.405200e+00,3.309067e+00
-1.488000e-03,4.373200e+00,3.330533e+00
-1.485000e-03,4.313200e+00,3.322933e+00
-1.482000e-03,4.274267e+00,3.324667e+00
-1.479000e-03,4.207867e+00,3.319467e+00
-1.476000e-03,4.166000e+00,3.328133e+00
-1.473000e-03,4.109066e+00,3.313067e+00
-1.470000e-03,4.043867e+00,3.314267e+00
-1.467000e-03,3.990400e+00,3.310267e+00
-1.464000e-03,3.931067e+00,3.307333e+00
-1.461000e-03,3.852400e+00,3.287733e+00
-1.458000e-03,3.785600e+00,3.294667e+00
-1.455000e-03,3.716933e+00,3.280133e+00
-1.452000e-03,3.663333e+00,3.274933e+00
-1.449000e-03,3.582000e+00,3.267467e+00
-1.446000e-03,3.514400e+00,3.256533e+00
-1.443000e-03,3.441200e+00,3.251867e+00
-1.440000e-03,3.374800e+00,3.233333e+00
-1.437000e-03,3.300933e+00,3.227600e+00
-1.434000e-03,3.228267e+00,3.224133e+00
-1.431000e-03,3.153200e+00,3.211333e+00
-1.428000e-03,3.076933e+00,3.198667e+00
-1.425000e-03,3.004800e+00,3.183067e+00
-1.422000e-03,2.916400e+00,3.169733e+00
-1.419000e-03,2.846533e+00,3.146667e+00
-1.416000e-03,2.767467e+00,3.126933e+00
-1.413000e-03,2.695867e+00,3.114267e+00
-1.410000e-03,2.613867e+00,3.096933e+00
-1.407000e-03,2.534133e+00,3.076133e+00
-1.404000e-03,2.450933e+00,3.050667e+00
-1.401000e-03,2.370133e+00,3.025200e+00
-1.398000e-03,2.296267e+00,3.012533e+00
-1.395000e-03,2.215333e+00,2.999733e+00
-1.392000e-03,2.146133e+00,2.976667e+00
-1.389000e-03,2.056533e+00,2.958800e+00
-1.386000e-03,1.989067e+00,2.933867e+00
-1.383000e-03,1.904667e+00,2.911867e+00
-1.380000e-03,1.852933e+00,2.898000e+00
-1.377000e-03,1.768533e+00,2.859867e+00
-1.374000e-03,1.685333e+00,2.834400e+00
-1.371000e-03,1.617867e+00,2.814267e+00
-1.368000e-03,1.550400e+00,2.777733e+00
-1.365000e-03,1.475867e+00,2.767333e+00
-1.362000e-03,1.404933e+00,2.725733e+00
-1.359000e-03,1.326933e+00,2.706133e+00
-1.356000e-03,1.266533e+00,2.673733e+00
-1.353000e-03,1.199067e+00,2.650533e+00
-1.350000e-03,1.137333e+00,2.620533e+00
-1.347000e-03,1.068133e+00,2.592800e+00
-1.344000e-03,1.008133e+00,2.574267e+00
-1.341000e-03,9.488000e-01,2.534400e+00
-1.338000e-03,8.988000e-01,2.504933e+00
-1.335000e-03,8.436000e-01,2.486933e+00
-1.332000e-03,7.754667e-01,2.477200e+00
-1.329000e-03,7.266667e-01,2.434400e+00
-1.326000e-03,6.777334e-01,2.417067e+00
-1.323000e-03,6.376000e-01,2.388667e+00
-1.320000e-03,5.846667e-01,2.373067e+00
-1.317000e-03,5.514666e-01,2.335467e+00
-1.314000e-03,5.137333e-01,2.310667e+00
-1.311000e-03,4.736000e-01,2.290400e+00
-1.308000e-03,4.170667e-01,2.266667e+00
-1.305000e-03,3.944000e-01,2.231467e+00
-1.302000e-03,3.636000e-01,2.204267e+00
-1.299000e-03,3.368000e-01,2.186400e+00
-1.296000e-03,3.030667e-01,2.155733e+00
-1.293000e-03,2.798667e-01,2.137733e+00
-1.290000e-03,2.565333e-01,2.118667e+00
-1.287000e-03,2.390667e-01,2.092667e+00
-1.284000e-03,2.286667e-01,2.084000e+00
-1.281000e-03,2.164000e-01,2.048133e+00
-1.278000e-03,1.890667e-01,2.037733e+00
-1.275000e-03,1.878667e-01,2.018133e+00
-1.272000e-03,1.750667e-01,1.986933e+00
-1.269000e-03,1.738667e-01,1.969600e+00
-1.266000e-03,1.728000e-01,1.948800e+00
-1.263000e-03,1.646667e-01,1.940133e+00
-1.260000e-03,1.774667e-01,1.917467e+00
-1.257000e-03,1.757333e-01,1.929067e+00
-1.254000e-03,1.949333e-01,1.894400e+00
-1.251000e-03,1.942667e-01,1.870667e+00
-1.248000e-03,2.169333e-01,1.843467e+00
-1.245000e-03,2.449333e-01,1.858000e+00
-1.242000e-03,2.472000e-01,1.836533e+00
-1.239000e-03,2.786667e-01,1.814667e+00
-1.236000e-03,2.868000e-01,1.804267e+00
-1.233000e-03,3.158667e-01,1.797333e+00
