Time(s),CH1V,CH2V
-4.650000e-05,4.496533e+00,3.885467e+00
-4.640700e-05,4.432267e+00,3.800400e+00
-4.631400e-05,4.387067e+00,3.744400e+00
-4.622100e-05,4.324667e+00,3.680000e+00
-4.612800e-05,4.271333e+00,3.601600e+00
-4.603500e-05,4.209067e+00,3.531067e+00
-4.594200e-05,4.140133e+00,3.463733e+00
-4.584900e-05,4.074800e+00,3.397867e+00
-4.575600e-05,4.022933e+00,3.324667e+00
-4.566300e-05,3.945867e+00,3.241333e+00
-4.557000e-05,3.881867e+00,3.176933e+00
-4.547700e-05,3.806267e+00,3.096933e+00
-4.538400e-05,3.740800e+00,3.024000e+00
-4.529100e-05,3.660133e+00,2.952933e+00
-4.519800e-05,3.592933e+00,2.872000e+00
-4.510500e-05,3.510800e+00,2.796000e+00
-4.501200e-05,3.426000e+00,2.715333e+00
-4.491900e-05,3.355600e+00,2.648667e+00
-4.482600e-05,3.282933e+00,2.550533e+00
-4.473300e-05,3.204533e+00,2.495467e+00
-4.464000e-05,3.109600e+00,2.428000e+00
-4.454700e-05,3.054400e+00,2.354133e+00
-4.445400e-05,2.965867e+00,2.260133e+00
-4.436100e-05,2.867200e+00,2.194267e+00
-4.426800e-05,2.791867e+00,2.108267e+00
-4.417500e-05,2.724667e+00,2.020667e+00
-4.408200e-05,2.640400e+00,1.953600e+00
-4.398900e-05,2.561600e+00,1.886400e+00
-4.389600e-05,2.463200e+00,1.809467e+00
-4.380300e-05,2.391867e+00,1.738267e+00
-4.371000e-05,2.313067e+00,1.659733e+00
-4.361700e-05,2.228800e+00,1.598267e+00
-4.352400e-05,2.146133e+00,1.538267e+00
-4.343100e-05,2.062267e+00,1.466133e+00
-4.333800e-05,1.989333e+00,1.395467e+00
-4.324500e-05,1.900933e+00,1.331467e+00
-4.315200e-05,1.826800e+00,1.263067e+00
-4.305900e-05,1.752267e+00,1.184667e+00
-4.296600e-05,1.660933e+00,1.127200e+00
-4.287300e-05,1.585867e+00,1.070667e+00
-4.278000e-05,1.513200e+00,1.001733e+00
-4.268700e-05,1.431200e+00,9.465333e-01
