Time(s),CH1V,CH2V
-1.000000e-03,9.345334e-01,1.072533e+00
-9.980000e-04,9.549333e-01,1.074800e+00
-9.960000e-04,9.844000e-01,1.063467e+00
-9.940000e-04,1.011600e+00,1.068000e+00
-9.920000e-04,1.034267e+00,1.054400e+00
-9.900000e-04,1.054800e+00,1.061200e+00
-9.880000e-04,1.077467e+00,1.065733e+00
-9.860000e-04,1.104667e+00,1.056667e+00
-9.840000e-04,1.136400e+00,1.052133e+00
-9.820000e-04,1.163600e+00,1.054400e+00
-9.800000e-04,1.197733e+00,1.070267e+00
-9.780000e-04,1.220400e+00,1.061200e+00
-9.760000e-04,1.243067e+00,1.070267e+00
-9.740000e-04,1.265733e+00,1.074800e+00
-9.720000e-04,1.292933e+00,1.072533e+00
-9.700000e-04,1.320133e+00,1.068000e+00
-9.680000e-04,1.338400e+00,1.081600e+00
-9.660000e-04,1.372400e+00,1.095200e+00
-9.640000e-04,1.413200e+00,1.083867e+00
-9.620000e-04,1.433600e+00,1.088400e+00
-9.600000e-04,1.458533e+00,1.092933e+00
-9.580000e-04,1.490400e+00,1.088400e+00
-9.560000e-04,1.519867e+00,1.104267e+00
-9.540000e-04,1.531200e+00,1.099733e+00
-9.520000e-04,1.569733e+00,1.117867e+00
-9.500000e-04,1.612800e+00,1.129200e+00
-9.480000e-04,1.621867e+00,1.106533e+00
-9.460000e-04,1.660533e+00,1.124667e+00
-9.440000e-04,1.694533e+00,1.131467e+00
-9.420000e-04,1.717200e+00,1.131467e+00
-9.400000e-04,1.746667e+00,1.142800e+00
-9.380000e-04,1.780800e+00,1.133733e+00
-9.360000e-04,1.808000e+00,1.156400e+00
-9.340000e-04,1.839733e+00,1.147333e+00
-9.320000e-04,1.864667e+00,1.165467e+00
-9.300000e-04,1.894133e+00,1.179067e+00
-9.280000e-04,1.928267e+00,1.174533e+00
-9.260000e-04,1.939600e+00,1.192667e+00
-9.240000e-04,1.982667e+00,1.197067e+00
-9.220000e-04,2.014400e+00,1.197067e+00
-9.200000e-04,2.046133e+00,1.215200e+00
-9.180000e-04,2.075733e+00,1.212933e+00
-9.160000e-04,2.125600e+00,1.231067e+00
-9.140000e-04,2.148267e+00,1.237867e+00
-9.120000e-04,2.182267e+00,1.242400e+00
-9.100000e-04,2.211867e+00,1.253733e+00
-9.080000e-04,2.236800e+00,1.265067e+00
-9.060000e-04,2.250400e+00,1.274133e+00
-9.040000e-04,2.302533e+00,1.283200e+00
-9.020000e-04,2.325200e+00,1.280933e+00
-9.000000e-04,2.347867e+00,1.294533e+00
-8.980000e-04,2.395600e+00,1.299067e+00
-8.960000e-04,2.422800e+00,1.317200e+00
-8.940000e-04,2.454533e+00,1.321733e+00
-8.920000e-04,2.486267e+00,1.337600e+00
-8.900000e-04,2.520400e+00,1.346533e+00
-8.880000e-04,2.558933e+00,1.360133e+00
-8.860000e-04,2.574800e+00,1.369200e+00
-8.840000e-04,2.597467e+00,1.387333e+00
-8.820000e-04,2.642800e+00,1.396400e+00
-8.800000e-04,2.665600e+00,1.400933e+00
-8.780000e-04,2.692800e+00,1.421333e+00
-8.760000e-04,2.735867e+00,1.432667e+00
-8.740000e-04,2.769867e+00,1.437200e+00
-8.720000e-04,2.801733e+00,1.446267e+00
-8.700000e-04,2.831200e+00,1.462133e+00
-8.680000e-04,2.858400e+00,1.478000e+00
-8.660000e-04,2.867467e+00,1.480267e+00
