erro, temperatura atual, integral
2.43, 298.72, 0.0
2.43, 298.72, 0.25
2.43, 298.72, 0.49
2.43, 298.72, 0.74
2.43, 298.72, 0.99
2.43, 298.72, 1.23
2.43, 298.72, 1.48
2.43, 298.72, 1.72
2.52, 298.63, 1.98
2.52, 298.63, 2.23
2.52, 298.63, 2.48
2.43, 298.72, 2.74
2.43, 298.72, 2.98
2.43, 298.72, 3.23
2.43, 298.72, 3.47
2.43, 298.72, 3.72
2.43, 298.72, 3.97
2.43, 298.72, 4.21
2.43, 298.72, 4.46
2.52, 298.63, 4.71
2.43, 298.72, 4.96
2.52, 298.63, 5.21
2.52, 298.63, 5.46
2.43, 298.72, 5.71
2.43, 298.72, 5.96
2.43, 298.72, 6.21
2.34, 298.81, 6.45
2.43, 298.72, 6.69
2.43, 298.72, 6.94
2.52, 298.63, 7.19
2.52, 298.63, 7.44
2.43, 298.72, 7.69
2.43, 298.72, 7.94
2.43, 298.72, 8.19
2.43, 298.72, 8.43
2.43, 298.72, 8.68
2.43, 298.72, 8.93
2.43, 298.72, 9.17
2.43, 298.72, 9.42
2.43, 298.72, 9.67
2.43, 298.72, 9.91
2.52, 298.63, 10.16
2.52, 298.63, 10.42
2.43, 298.72, 10.67
2.43, 298.72, 10.91
2.43, 298.72, 11.16
2.43, 298.72, 11.4
2.43, 298.72, 11.65
2.43, 298.72, 11.9
2.52, 298.63, 12.15
2.52, 298.63, 12.4
2.52, 298.63, 12.66
2.43, 298.72, 12.91
2.52, 298.63, 13.16
2.43, 298.72, 13.41
2.43, 298.72, 13.65
2.43, 298.72, 13.9
2.43, 298.72, 14.15
2.43, 298.72, 14.39
2.43, 298.72, 14.64
2.43, 298.72, 14.88
2.52, 298.63, 15.14
2.52, 298.63, 15.39
2.43, 298.72, 15.64
2.43, 298.72, 15.89
2.43, 298.72, 16.13
2.43, 298.72, 16.38
2.52, 298.63, 16.63
2.43, 298.72, 16.88
2.43, 298.72, 17.13
2.43, 298.72, 17.37
2.43, 298.72, 17.62
2.52, 298.63, 17.87
2.43, 298.72, 18.12
2.43, 298.72, 18.37
2.43, 298.72, 18.61
2.43, 298.72, 18.86
2.43, 298.72, 19.1
2.43, 298.72, 19.35
2.43, 298.72, 19.6
2.43, 298.72, 19.84
2.43, 298.72, 20.09
2.43, 298.72, 20.34
2.52, 298.63, 20.59
2.43, 298.72, 20.84
2.43, 298.72, 21.08
2.43, 298.72, 21.33
2.43, 298.72, 21.58
2.43, 298.72, 21.82
2.43, 298.72, 22.07
2.52, 298.63, 22.32
2.52, 298.63, 22.57
2.43, 298.72, 22.83
2.43, 298.72, 23.07
2.52, 298.63, 23.32
2.52, 298.63, 23.58
2.43, 298.72, 23.83
2.43, 298.72, 24.08
2.43, 298.72, 24.33
2.43, 298.72, 24.57
2.52, 298.63, 24.82
2.52, 298.63, 25.08
2.52, 298.63, 25.33
2.52, 298.63, 25.59
2.43, 298.72, 25.84
2.43, 298.72, 26.09
2.52, 298.63, 26.34
2.43, 298.72, 26.59
2.43, 298.72, 26.84
2.43, 298.72, 27.08
2.52, 298.63, 27.33
2.52, 298.63, 27.59
2.52, 298.63, 27.84
2.52, 298.63, 28.1
2.52, 298.63, 28.36
2.52, 298.63, 28.61
2.43, 298.72, 28.86
2.52, 298.63, 29.11
2.52, 298.63, 29.37
2.43, 298.72, 29.62
2.52, 298.63, 29.87
2.52, 298.63, 30.13
2.52, 298.63, 30.38
2.43, 298.72, 30.63
2.43, 298.72, 30.88
2.52, 298.63, 31.13
2.43, 298.72, 31.38
2.52, 298.63, 31.63
2.43, 298.72, 31.88
2.52, 298.63, 32.13
2.52, 298.63, 32.39
2.52, 298.63, 32.64
2.52, 298.63, 32.9
2.52, 298.63, 33.15
2.43, 298.72, 33.4
2.52, 298.63, 33.65
2.43, 298.72, 33.9
2.52, 298.63, 34.16
2.43, 298.72, 34.41
2.43, 298.72, 34.65
2.43, 298.72, 34.9
2.43, 298.72, 35.14
2.52, 298.63, 35.4
2.52, 298.63, 35.65
2.52, 298.63, 35.9
2.52, 298.63, 36.16
2.43, 298.72, 36.41
2.52, 298.63, 36.66
2.43, 298.72, 36.91
2.43, 298.72, 37.16
2.43, 298.72, 37.4
2.52, 298.63, 37.65
2.52, 298.63, 37.91
2.52, 298.63, 38.16
2.43, 298.72, 38.41
2.43, 298.72, 38.66
2.43, 298.72, 38.91
2.43, 298.72, 39.15
2.43, 298.72, 39.4
2.43, 298.72, 39.64
2.43, 298.72, 39.89
2.43, 298.72, 40.14
2.43, 298.72, 40.38
2.52, 298.63, 40.63
2.52, 298.63, 40.89
2.43, 298.72, 41.14
2.43, 298.72, 41.38
2.43, 298.72, 41.63
2.43, 298.72, 41.87
2.43, 298.72, 42.12
2.43, 298.72, 42.37
2.43, 298.72, 42.61
2.52, 298.63, 42.86
2.52, 298.63, 43.12
2.52, 298.63, 43.37
2.52, 298.63, 43.63
2.52, 298.63, 43.88
2.43, 298.72, 44.13
2.52, 298.63, 44.38
2.52, 298.63, 44.64
2.52, 298.63, 44.89
2.52, 298.63, 45.15
2.43, 298.72, 45.4
2.52, 298.63, 45.65
2.52, 298.63, 45.91
2.52, 298.63, 46.16
