erro, temperatura atual, integral
2.6, 298.55, 0.0
2.6, 298.55, 0.26
2.6, 298.55, 0.53
2.6, 298.55, 0.79
2.6, 298.55, 1.06
2.6, 298.55, 1.32
2.6, 298.55, 1.59
2.6, 298.55, 1.85
2.6, 298.55, 2.12
2.6, 298.55, 2.38
2.6, 298.55, 2.64
2.6, 298.55, 2.91
2.6, 298.55, 3.17
2.6, 298.55, 3.44
2.6, 298.55, 3.7
2.6, 298.55, 3.97
2.6, 298.55, 4.23
2.6, 298.55, 4.49
2.6, 298.55, 4.76
2.6, 298.55, 5.02
2.6, 298.55, 5.29
2.6, 298.55, 5.55
2.6, 298.55, 5.82
2.6, 298.55, 6.08
2.6, 298.55, 6.35
2.6, 298.55, 6.61
2.6, 298.55, 6.87
2.6, 298.55, 7.14
2.6, 298.55, 7.4
2.6, 298.55, 7.67
2.6, 298.55, 7.93
2.6, 298.55, 8.2
2.6, 298.55, 8.46
2.6, 298.55, 8.72
2.6, 298.55, 8.99
2.6, 298.55, 9.25
2.6, 298.55, 9.52
2.6, 298.55, 9.78
2.6, 298.55, 10.04
2.6, 298.55, 10.31
2.6, 298.55, 10.57
2.6, 298.55, 10.84
2.6, 298.55, 11.1
2.6, 298.55, 11.37
2.6, 298.55, 11.63
2.6, 298.55, 11.9
2.6, 298.55, 12.16
2.6, 298.55, 12.42
2.6, 298.55, 12.69
2.6, 298.55, 12.95
2.6, 298.55, 13.22
2.6, 298.55, 13.48
2.6, 298.55, 13.74
2.6, 298.55, 14.01
2.6, 298.55, 14.27
2.6, 298.55, 14.54
2.6, 298.55, 14.8
2.6, 298.55, 15.06
2.6, 298.55, 15.33
2.6, 298.55, 15.59
2.6, 298.55, 15.86
2.6, 298.55, 16.12
2.6, 298.55, 16.38
2.6, 298.55, 16.65
2.6, 298.55, 16.91
2.6, 298.55, 17.18
2.6, 298.55, 17.44
2.6, 298.55, 17.7
2.6, 298.55, 17.97
2.6, 298.55, 18.23
2.6, 298.55, 18.5
2.6, 298.55, 18.76
2.6, 298.55, 19.02
2.6, 298.55, 19.29
2.6, 298.55, 19.55
