erro, temperatura atual, integral
2.87, 298.28, 0.0
2.87, 298.28, 0.29
2.87, 298.28, 0.58
2.87, 298.28, 0.87
2.87, 298.28, 1.16
2.87, 298.28, 1.45
2.87, 298.28, 1.74
2.87, 298.28, 2.03
2.87, 298.28, 2.33
2.87, 298.28, 2.62
2.78, 298.37, 2.9
2.87, 298.28, 3.19
2.87, 298.28, 3.48
2.87, 298.28, 3.77
2.87, 298.28, 4.06
2.87, 298.28, 4.35
2.87, 298.28, 4.65
2.87, 298.28, 4.94
2.87, 298.28, 5.23
2.87, 298.28, 5.52
2.87, 298.28, 5.81
2.87, 298.28, 6.1
2.78, 298.37, 6.38
2.87, 298.28, 6.67
2.87, 298.28, 6.96
2.87, 298.28, 7.25
2.87, 298.28, 7.54
2.87, 298.28, 7.83
2.87, 298.28, 8.12
2.78, 298.37, 8.41
2.87, 298.28, 8.7
2.78, 298.37, 8.99
2.87, 298.28, 9.27
2.87, 298.28, 9.56
2.87, 298.28, 9.85
2.87, 298.28, 10.15
2.87, 298.28, 10.44
2.87, 298.28, 10.73
2.87, 298.28, 11.02
2.87, 298.28, 11.31
2.87, 298.28, 11.6
2.87, 298.28, 11.89
2.87, 298.28, 12.18
2.87, 298.28, 12.47
2.87, 298.28, 12.76
2.87, 298.28, 13.06
2.87, 298.28, 13.35
2.87, 298.28, 13.64
2.87, 298.28, 13.93
2.87, 298.28, 14.22
2.87, 298.28, 14.51
2.87, 298.28, 14.8
2.87, 298.28, 15.09
2.87, 298.28, 15.39
2.87, 298.28, 15.67
2.87, 298.28, 15.96
2.87, 298.28, 16.26
2.87, 298.28, 16.55
2.87, 298.28, 16.84
2.87, 298.28, 17.13
2.87, 298.28, 17.42
2.87, 298.28, 17.72
2.78, 298.37, 18.0
2.87, 298.28, 18.29
2.87, 298.28, 18.58
2.87, 298.28, 18.87
2.87, 298.28, 19.16
2.87, 298.28, 19.45
2.87, 298.28, 19.74
2.87, 298.28, 20.04
2.87, 298.28, 20.33
2.87, 298.28, 20.62
2.87, 298.28, 20.91
2.87, 298.28, 21.2
2.87, 298.28, 21.49
2.87, 298.28, 21.78
2.87, 298.28, 22.07
2.87, 298.28, 22.36
2.87, 298.28, 22.66
2.87, 298.28, 22.95
2.87, 298.28, 23.24
2.87, 298.28, 23.53
2.87, 298.28, 23.82
2.87, 298.28, 24.11
2.87, 298.28, 24.4
2.87, 298.28, 24.69
2.87, 298.28, 24.98
2.87, 298.28, 25.27
2.96, 298.19, 25.57
2.87, 298.28, 25.86
2.87, 298.28, 26.15
2.87, 298.28, 26.44
2.87, 298.28, 26.74
2.87, 298.28, 27.03
2.87, 298.28, 27.32
