erro, temperatura atual, integral
6.4, 316.75, 0.0
6.52, 316.63, 0.65
6.4, 316.75, 1.31
6.4, 316.75, 1.96
6.4, 316.75, 2.61
6.4, 316.75, 3.26
6.4, 316.75, 3.91
6.52, 316.63, 4.56
6.4, 316.75, 5.22
6.4, 316.75, 5.87
6.52, 316.63, 6.53
6.4, 316.75, 7.18
6.4, 316.75, 7.83
6.4, 316.75, 8.48
6.4, 316.75, 9.13
6.4, 316.75, 9.78
6.4, 316.75, 10.44
6.4, 316.75, 11.08
6.4, 316.75, 11.73
6.4, 316.75, 12.38
6.4, 316.75, 13.03
6.4, 316.75, 13.68
6.4, 316.75, 14.33
6.4, 316.75, 14.97
6.4, 316.75, 15.63
6.4, 316.75, 16.27
6.4, 316.75, 16.92
6.4, 316.75, 17.57
6.4, 316.75, 18.22
6.4, 316.75, 18.88
6.4, 316.75, 19.52
6.4, 316.75, 20.17
6.4, 316.75, 20.83
6.4, 316.75, 21.48
6.4, 316.75, 22.13
6.4, 316.75, 22.78
6.4, 316.75, 23.43
6.4, 316.75, 24.08
6.4, 316.75, 24.73
6.4, 316.75, 25.37
6.4, 316.75, 26.03
6.4, 316.75, 26.67
6.28, 316.87, 27.32
6.4, 316.75, 27.96
6.4, 316.75, 28.61
6.28, 316.87, 29.25
6.28, 316.87, 29.89
6.28, 316.87, 30.53
6.4, 316.75, 31.17
6.4, 316.75, 31.82
6.4, 316.75, 32.47
6.4, 316.75, 33.12
6.28, 316.87, 33.76
6.4, 316.75, 34.4
6.28, 316.87, 35.04
6.4, 316.75, 35.69
6.4, 316.75, 36.34
6.4, 316.75, 36.98
6.28, 316.87, 37.63
6.28, 316.87, 38.26
6.4, 316.75, 38.91
6.28, 316.87, 39.55
6.4, 316.75, 40.19
6.28, 316.87, 40.84
6.4, 316.75, 41.48
6.28, 316.87, 42.13
6.28, 316.87, 42.77
6.4, 316.75, 43.41
6.28, 316.87, 44.06
6.4, 316.75, 44.7
6.28, 316.87, 45.34
6.28, 316.87, 45.99
6.28, 316.87, 46.63
6.28, 316.87, 47.27
6.28, 316.87, 47.91
6.28, 316.87, 48.54
6.28, 316.87, 49.18
6.28, 316.87, 49.82
6.28, 316.87, 50.46
6.28, 316.87, 51.1
6.28, 316.87, 51.74
6.4, 316.75, 52.38
6.28, 316.87, 53.02
6.28, 316.87, 53.66
6.28, 316.87, 54.31
6.28, 316.87, 54.94
6.28, 316.87, 55.57
6.28, 316.87, 56.21
6.28, 316.87, 56.84
6.28, 316.87, 57.49
6.28, 316.87, 58.12
6.28, 316.87, 58.75
6.28, 316.87, 59.4
6.28, 316.87, 60.03
6.28, 316.87, 60.67
6.28, 316.87, 61.31
6.28, 316.87, 61.95
6.28, 316.87, 62.59
6.28, 316.87, 63.22
6.28, 316.87, 63.86
6.28, 316.87, 64.51
6.28, 316.87, 65.14
6.28, 316.87, 65.79
6.28, 316.87, 66.42
6.17, 316.98, 67.05
6.28, 316.87, 67.69
6.17, 316.98, 68.32
6.28, 316.87, 68.96
6.28, 316.87, 69.6
6.28, 316.87, 70.23
6.28, 316.87, 70.87
6.28, 316.87, 71.51
6.28, 316.87, 72.15
6.17, 316.98, 72.78
6.17, 316.98, 73.41
6.17, 316.98, 74.04
6.17, 316.98, 74.67
6.17, 316.98, 75.29
6.17, 316.98, 75.92
6.28, 316.87, 76.55
6.17, 316.98, 77.18
6.28, 316.87, 77.81
6.17, 316.98, 78.44
6.17, 316.98, 79.08
6.17, 316.98, 79.7
6.17, 316.98, 80.32
6.17, 316.98, 80.95
6.17, 316.98, 81.57
6.17, 316.98, 82.2
6.17, 316.98, 82.83
6.17, 316.98, 83.45
6.17, 316.98, 84.08
6.17, 316.98, 84.7
6.17, 316.98, 85.33
6.17, 316.98, 85.95
6.17, 316.98, 86.58
6.17, 316.98, 87.21
6.17, 316.98, 87.83
6.17, 316.98, 88.45
6.17, 316.98, 89.09
6.17, 316.98, 89.71
6.17, 316.98, 90.34
6.17, 316.98, 90.97
6.17, 316.98, 91.59
6.17, 316.98, 92.22
6.17, 316.98, 92.85
6.17, 316.98, 93.48
6.17, 316.98, 94.1
6.17, 316.98, 94.73
6.17, 316.98, 95.36
6.17, 316.98, 95.98
6.17, 316.98, 96.6
6.17, 316.98, 97.23
6.17, 316.98, 97.86
6.17, 316.98, 98.48
6.05, 317.1, 99.1
6.17, 316.98, 99.72
6.17, 316.98, 100.35
6.17, 316.98, 100.97
6.17, 316.98, 101.6
6.17, 316.98, 102.23
6.17, 316.98, 102.85
6.17, 316.98, 103.48
6.17, 316.98, 104.11
6.17, 316.98, 104.73
6.17, 316.98, 105.36
6.17, 316.98, 105.99
6.17, 316.98, 106.62
6.17, 316.98, 107.24
6.05, 317.1, 107.86
6.17, 316.98, 108.48
6.17, 316.98, 109.11
6.17, 316.98, 109.74
6.17, 316.98, 110.36
6.17, 316.98, 110.99
6.17, 316.98, 111.61
6.17, 316.98, 112.24
6.17, 316.98, 112.86
6.17, 316.98, 113.49
6.17, 316.98, 114.12
6.17, 316.98, 114.75
6.17, 316.98, 115.37
6.05, 317.1, 115.99
6.17, 316.98, 116.61
6.17, 316.98, 117.24
6.17, 316.98, 117.87
6.17, 316.98, 118.49
6.17, 316.98, 119.12
6.17, 316.98, 119.75
6.17, 316.98, 120.38
6.17, 316.98, 121.0
6.17, 316.98, 121.63
6.17, 316.98, 122.25
6.17, 316.98, 122.88
6.17, 316.98, 123.5
6.17, 316.98, 124.13
6.17, 316.98, 124.76
6.17, 316.98, 125.38
6.17, 316.98, 126.02
6.17, 316.98, 126.64
6.17, 316.98, 127.27
6.17, 316.98, 127.9
6.05, 317.1, 128.51
6.17, 316.98, 129.14
6.17, 316.98, 129.77
6.05, 317.1, 130.38
6.17, 316.98, 131.01
6.05, 317.1, 131.63
6.17, 316.98, 132.25
6.05, 317.1, 132.87
6.05, 317.1, 133.48
6.05, 317.1, 134.11
6.05, 317.1, 134.72
