erro, temperatura atual, integral
2.47, 300.68, 0.0
2.47, 300.68, 0.25
2.47, 300.68, 0.5
2.47, 300.68, 0.75
2.47, 300.68, 1.0
2.47, 300.68, 1.25
2.47, 300.68, 1.5
2.47, 300.68, 1.75
2.47, 300.68, 2.0
2.47, 300.68, 2.25
2.56, 300.59, 2.5
2.47, 300.68, 2.76
2.47, 300.68, 3.01
2.47, 300.68, 3.26
2.47, 300.68, 3.51
2.47, 300.68, 3.76
2.47, 300.68, 4.02
2.47, 300.68, 4.26
2.47, 300.68, 4.52
2.47, 300.68, 4.77
2.47, 300.68, 5.02
2.47, 300.68, 5.27
2.47, 300.68, 5.52
2.47, 300.68, 5.77
2.47, 300.68, 6.02
2.47, 300.68, 6.27
2.47, 300.68, 6.52
2.47, 300.68, 6.77
2.47, 300.68, 7.02
2.56, 300.59, 7.28
2.56, 300.59, 7.54
2.56, 300.59, 7.79
2.47, 300.68, 8.05
2.56, 300.59, 8.3
2.47, 300.68, 8.56
2.47, 300.68, 8.81
2.47, 300.68, 9.06
2.47, 300.68, 9.31
2.47, 300.68, 9.56
2.47, 300.68, 9.81
2.47, 300.68, 10.06
2.47, 300.68, 10.31
2.56, 300.59, 10.57
2.47, 300.68, 10.82
2.47, 300.68, 11.07
2.47, 300.68, 11.32
2.56, 300.59, 11.58
2.47, 300.68, 11.83
2.47, 300.68, 12.08
2.47, 300.68, 12.33
2.47, 300.68, 12.59
2.56, 300.59, 12.84
2.47, 300.68, 13.1
2.47, 300.68, 13.35
2.47, 300.68, 13.6
2.47, 300.68, 13.85
2.47, 300.68, 14.1
2.47, 300.68, 14.35
2.47, 300.68, 14.6
2.47, 300.68, 14.85
2.47, 300.68, 15.1
2.47, 300.68, 15.35
2.47, 300.68, 15.6
2.47, 300.68, 15.85
2.56, 300.59, 16.11
2.56, 300.59, 16.37
2.47, 300.68, 16.63
2.56, 300.59, 16.88
2.47, 300.68, 17.14
2.47, 300.68, 17.39
2.47, 300.68, 17.63
2.47, 300.68, 17.89
2.47, 300.68, 18.14
2.47, 300.68, 18.38
2.56, 300.59, 18.64
2.56, 300.59, 18.9
2.47, 300.68, 19.16
2.47, 300.68, 19.41
2.47, 300.68, 19.66
2.47, 300.68, 19.91
2.47, 300.68, 20.16
2.47, 300.68, 20.41
2.56, 300.59, 20.66
2.56, 300.59, 20.92
2.56, 300.59, 21.19
2.56, 300.59, 21.44
2.56, 300.59, 21.7
2.47, 300.68, 21.96
2.47, 300.68, 22.21
2.47, 300.68, 22.46
2.47, 300.68, 22.71
2.47, 300.68, 22.96
2.56, 300.59, 23.22
2.56, 300.59, 23.48
2.56, 300.59, 23.73
2.56, 300.59, 23.99
2.56, 300.59, 24.25
2.56, 300.59, 24.52
2.56, 300.59, 24.77
2.47, 300.68, 25.03
2.47, 300.68, 25.28
2.56, 300.59, 25.8
2.56, 300.59, 26.05
2.56, 300.59, 26.31
2.56, 300.59, 26.57
2.56, 300.59, 26.83
2.56, 300.59, 27.09
2.47, 300.68, 27.35
2.47, 300.68, 27.6
2.47, 300.68, 27.85
2.56, 300.59, 28.1
2.56, 300.59, 28.36
2.56, 300.59, 28.62
2.56, 300.59, 28.88
2.56, 300.59, 29.14
2.56, 300.59, 29.4
2.56, 300.59, 29.66
2.56, 300.59, 29.92
2.47, 300.68, 30.18
2.56, 300.59, 30.43
2.47, 300.68, 30.69
2.47, 300.68, 30.94
2.56, 300.59, 31.19
2.56, 300.59, 31.45
2.56, 300.59, 31.71
2.56, 300.59, 31.97
2.56, 300.59, 32.23
2.56, 300.59, 32.49
2.47, 300.68, 32.75
2.47, 300.68, 33.0
2.47, 300.68, 33.25
2.56, 300.59, 33.5
2.56, 300.59, 33.76
2.56, 300.59, 34.02
2.56, 300.59, 34.28
2.56, 300.59, 34.54
2.56, 300.59, 34.8
2.47, 300.68, 35.06
2.56, 300.59, 35.31
2.56, 300.59, 35.58
2.47, 300.68, 35.83
2.56, 300.59, 36.09
2.56, 300.59, 36.34
2.56, 300.59, 36.6
2.56, 300.59, 36.86
2.56, 300.59, 37.12
2.56, 300.59, 37.38
2.56, 300.59, 37.64
2.56, 300.59, 37.9
2.47, 300.68, 38.16
2.47, 300.68, 38.41
2.56, 300.59, 38.66
2.47, 300.68, 38.92
2.56, 300.59, 39.17
2.56, 300.59, 39.43
2.56, 300.59, 39.69
2.56, 300.59, 39.95
2.56, 300.59, 40.21
2.47, 300.68, 40.46
