erro, temperatura atual, integral
0.93, 302.22, 0.0
1.02, 302.13, 0.1
0.93, 302.22, 0.2
1.02, 302.13, 0.3
1.02, 302.13, 0.4
1.02, 302.13, 0.5
0.93, 302.22, 0.6
1.02, 302.13, 0.7
0.93, 302.22, 0.8
1.02, 302.13, 0.9
1.02, 302.13, 1.0
1.02, 302.13, 1.11
1.11, 302.04, 1.21
1.02, 302.13, 1.32
1.02, 302.13, 1.43
1.02, 302.13, 1.53
1.02, 302.13, 1.63
1.02, 302.13, 1.74
1.02, 302.13, 1.84
1.02, 302.13, 1.95
1.02, 302.13, 2.05
1.02, 302.13, 2.15
1.02, 302.13, 2.26
1.02, 302.13, 2.36
1.02, 302.13, 2.46
1.02, 302.13, 2.57
1.02, 302.13, 2.67
1.02, 302.13, 2.77
1.02, 302.13, 2.88
1.02, 302.13, 2.98
1.11, 302.04, 3.09
1.11, 302.04, 3.2
1.11, 302.04, 3.32
1.11, 302.04, 3.43
1.11, 302.04, 3.54
1.11, 302.04, 3.65
1.11, 302.04, 3.77
1.11, 302.04, 3.88
1.11, 302.04, 3.99
1.11, 302.04, 4.11
1.11, 302.04, 4.22
1.11, 302.04, 4.33
1.11, 302.04, 4.44
1.11, 302.04, 4.56
1.11, 302.04, 4.67
1.11, 302.04, 4.78
1.11, 302.04, 4.9
1.11, 302.04, 5.01
1.11, 302.04, 5.12
1.11, 302.04, 5.23
1.11, 302.04, 5.35
1.11, 302.04, 5.46
1.2, 301.95, 5.58
1.11, 302.04, 5.7
1.11, 302.04, 5.81
1.2, 301.95, 5.93
1.2, 301.95, 6.05
1.2, 301.95, 6.17
1.2, 301.95, 6.29
1.11, 302.04, 6.41
1.2, 301.95, 6.53
1.2, 301.95, 6.65
1.2, 301.95, 6.77
1.2, 301.95, 6.89
1.2, 301.95, 7.02
1.2, 301.95, 7.14
1.2, 301.95, 7.26
1.2, 301.95, 7.38
1.2, 301.95, 7.5
1.2, 301.95, 7.63
1.2, 301.95, 7.75
1.2, 301.95, 7.87
1.2, 301.95, 7.99
1.2, 301.95, 8.11
1.2, 301.95, 8.24
1.2, 301.95, 8.36
1.2, 301.95, 8.48
1.2, 301.95, 8.6
1.2, 301.95, 8.72
1.2, 301.95, 8.85
1.2, 301.95, 8.97
1.2, 301.95, 9.09
1.2, 301.95, 9.21
1.2, 301.95, 9.34
1.2, 301.95, 9.46
1.2, 301.95, 9.58
1.2, 301.95, 9.7
1.2, 301.95, 9.82
1.2, 301.95, 9.95
1.2, 301.95, 10.07
1.2, 301.95, 10.19
1.2, 301.95, 10.31
1.2, 301.95, 10.44
1.2, 301.95, 10.56
1.2, 301.95, 10.68
1.2, 301.95, 10.8
1.2, 301.95, 10.92
1.2, 301.95, 11.05
1.2, 301.95, 11.17
1.2, 301.95, 11.29
1.2, 301.95, 11.41
1.29, 301.86, 11.54
1.2, 301.95, 11.67
1.2, 301.95, 11.79
1.29, 301.86, 11.92
1.2, 301.95, 12.04
1.2, 301.95, 12.16
1.2, 301.95, 12.29
1.2, 301.95, 12.41
1.2, 301.95, 12.53
1.29, 301.86, 12.66
1.2, 301.95, 12.78
1.29, 301.86, 12.91
1.2, 301.95, 13.04
1.29, 301.86, 13.16
1.2, 301.95, 13.29
1.29, 301.86, 13.42
1.2, 301.95, 13.54
1.29, 301.86, 13.67
1.2, 301.95, 13.8
1.2, 301.95, 13.92
1.2, 301.95, 14.04
1.2, 301.95, 14.16
1.29, 301.86, 14.29
1.2, 301.95, 14.42
1.2, 301.95, 14.54
1.2, 301.95, 14.66
1.2, 301.95, 14.78
1.2, 301.95, 14.9
1.2, 301.95, 15.03
1.29, 301.86, 15.15
1.2, 301.95, 15.28
1.29, 301.86, 15.41
1.29, 301.86, 15.54
1.2, 301.95, 15.67
1.2, 301.95, 15.79
1.2, 301.95, 15.91
1.2, 301.95, 16.03
1.2, 301.95, 16.16
1.2, 301.95, 16.28
1.2, 301.95, 16.4
1.2, 301.95, 16.52
1.2, 301.95, 16.64
1.29, 301.86, 16.77
1.29, 301.86, 16.9
1.29, 301.86, 17.03
1.2, 301.95, 17.16
1.2, 301.95, 17.28
1.2, 301.95, 17.4
1.2, 301.95, 17.53
1.2, 301.95, 17.65
1.29, 301.86, 17.77
1.29, 301.86, 17.9
1.2, 301.95, 18.03
1.2, 301.95, 18.16
1.29, 301.86, 18.28
1.2, 301.95, 18.41
1.29, 301.86, 18.53
1.29, 301.86, 18.67
1.29, 301.86, 18.8
1.29, 301.86, 18.93
1.2, 301.95, 19.06
1.29, 301.86, 19.18
1.29, 301.86, 19.32
1.29, 301.86, 19.45
1.29, 301.86, 19.58
1.29, 301.86, 19.71
1.2, 301.95, 19.84
1.2, 301.95, 19.96
1.2, 301.95, 20.08
1.2, 301.95, 20.2
1.2, 301.95, 20.33
1.29, 301.86, 20.45
1.2, 301.95, 20.58
1.29, 301.86, 20.7
1.29, 301.86, 20.84
1.29, 301.86, 20.97
1.2, 301.95, 21.09
1.2, 301.95, 21.22
1.29, 301.86, 21.34
1.2, 301.95, 21.47
1.29, 301.86, 21.6
1.2, 301.95, 21.72
1.29, 301.86, 21.85
1.2, 301.95, 21.98
1.29, 301.86, 22.1
1.29, 301.86, 22.23
1.2, 301.95, 22.36
1.29, 301.86, 22.49
1.2, 301.95, 22.61
1.29, 301.86, 22.74
1.29, 301.86, 22.87
1.29, 301.86, 23.0
1.29, 301.86, 23.13
1.29, 301.86, 23.26
1.29, 301.86, 23.4
1.29, 301.86, 23.53
1.29, 301.86, 23.66
1.2, 301.95, 23.79
1.29, 301.86, 23.91
1.29, 301.86, 24.04
1.2, 301.95, 24.17
1.29, 301.86, 24.3
1.2, 301.95, 24.42
1.29, 301.86, 24.55
1.2, 301.95, 24.68
1.29, 301.86, 24.8
1.29, 301.86, 24.93
1.29, 301.86, 25.07
1.29, 301.86, 25.2
1.29, 301.86, 25.33
1.29, 301.86, 25.46
1.2, 301.95, 25.59
1.29, 301.86, 25.71
1.2, 301.95, 25.84
1.2, 301.95, 25.96
1.2, 301.95, 26.08
1.2, 301.95, 26.21
1.29, 301.86, 26.33
1.2, 301.95, 26.46
1.2, 301.95, 26.58
1.29, 301.86, 26.71
1.2, 301.95, 26.83
1.2, 301.95, 26.96
1.29, 301.86, 27.08
1.2, 301.95, 27.21
1.29, 301.86, 27.34
1.2, 301.95, 27.46
1.2, 301.95, 27.58
1.2, 301.95, 27.71
1.2, 301.95, 27.83
1.2, 301.95, 27.95
1.2, 301.95, 28.07
1.2, 301.95, 28.2
1.2, 301.95, 28.32
1.29, 301.86, 28.45
1.2, 301.95, 28.57
1.2, 301.95, 28.7
1.2, 301.95, 28.82
1.2, 301.95, 28.94
1.2, 301.95, 29.06
1.2, 301.95, 29.18
1.2, 301.95, 29.31
1.2, 301.95, 29.43
1.2, 301.95, 29.55
1.2, 301.95, 29.67
1.2, 301.95, 29.8
1.2, 301.95, 29.92
1.2, 301.95, 30.04
1.2, 301.95, 30.16
1.2, 301.95, 30.28
1.2, 301.95, 30.41
1.2, 301.95, 30.53
1.2, 301.95, 30.65
1.2, 301.95, 30.77
1.2, 301.95, 30.9
1.2, 301.95, 31.02
1.2, 301.95, 31.14
1.11, 302.04, 31.26
1.2, 301.95, 31.37
1.11, 302.04, 31.49
1.2, 301.95, 31.61
1.2, 301.95, 31.73
1.11, 302.04, 31.85
1.11, 302.04, 31.96
1.11, 302.04, 32.07
1.11, 302.04, 32.19
1.11, 302.04, 32.3
1.02, 302.13, 32.41
1.02, 302.13, 32.51
1.02, 302.13, 32.61
1.02, 302.13, 32.72
0.93, 302.22, 32.82
0.93, 302.22, 32.91
0.93, 302.22, 33.01
0.93, 302.22, 33.1
0.84, 302.31, 33.19
0.84, 302.31, 33.28
0.84, 302.31, 33.36
0.84, 302.31, 33.45
0.84, 302.31, 33.53
0.84, 302.31, 33.62
0.75, 302.4, 33.7
0.75, 302.4, 33.77
0.75, 302.4, 33.85
0.75, 302.4, 33.93
0.75, 302.4, 34.0
0.75, 302.4, 34.08
0.75, 302.4, 34.15
0.66, 302.49, 34.23
0.66, 302.49, 34.29
0.66, 302.49, 34.36
0.66, 302.49, 34.43
0.66, 302.49, 34.49
0.66, 302.49, 34.56
0.66, 302.49, 34.63
0.66, 302.49, 34.69
0.57, 302.58, 34.75
0.57, 302.58, 34.81
0.66, 302.49, 34.87
0.57, 302.58, 34.94
0.57, 302.58, 34.99
0.57, 302.58, 35.05
0.57, 302.58, 35.11
0.57, 302.58, 35.16
0.57, 302.58, 35.22
0.57, 302.58, 35.28
0.57, 302.58, 35.34
0.47, 302.68, 35.39
0.47, 302.68, 35.44
0.47, 302.68, 35.49
0.47, 302.68, 35.53
0.47, 302.68, 35.58
0.47, 302.68, 35.63
0.47, 302.68, 35.68
0.47, 302.68, 35.73
0.47, 302.68, 35.77
0.47, 302.68, 35.82
0.47, 302.68, 35.87
0.47, 302.68, 35.92
0.47, 302.68, 35.97
0.57, 302.58, 36.02
0.57, 302.58, 36.08
0.57, 302.58, 36.13
0.57, 302.58, 36.19
0.57, 302.58, 36.25
0.66, 302.49, 36.31
0.66, 302.49, 36.38
0.66, 302.49, 36.44
0.66, 302.49, 36.51
0.66, 302.49, 36.58
0.66, 302.49, 36.64
0.66, 302.49, 36.71
0.75, 302.4, 36.78
0.75, 302.4, 36.86
0.75, 302.4, 36.93
0.75, 302.4, 37.01
0.75, 302.4, 37.09
0.75, 302.4, 37.16
0.75, 302.4, 37.24
0.75, 302.4, 37.31
0.84, 302.31, 37.4
0.84, 302.31, 37.48
0.84, 302.31, 37.57
0.84, 302.31, 37.65
0.84, 302.31, 37.74
0.84, 302.31, 37.82
0.84, 302.31, 37.91
0.84, 302.31, 37.99
0.93, 302.22, 38.08
0.93, 302.22, 38.17
0.93, 302.22, 38.27
0.93, 302.22, 38.36
0.93, 302.22, 38.46
0.93, 302.22, 38.55
0.93, 302.22, 38.65
0.93, 302.22, 38.74
0.93, 302.22, 38.84
0.93, 302.22, 38.93
0.93, 302.22, 39.02
0.93, 302.22, 39.12
0.93, 302.22, 39.21
1.02, 302.13, 39.31
0.93, 302.22, 39.41
0.93, 302.22, 39.51
0.93, 302.22, 39.6
0.93, 302.22, 39.69
0.93, 302.22, 39.79
0.93, 302.22, 39.88
0.93, 302.22, 39.98
0.93, 302.22, 40.07
1.02, 302.13, 40.17
1.02, 302.13, 40.27
1.02, 302.13, 40.38
1.02, 302.13, 40.48
0.93, 302.22, 40.58
0.93, 302.22, 40.67
1.02, 302.13, 40.77
1.02, 302.13, 40.88
1.02, 302.13, 40.98
0.93, 302.22, 41.08
1.02, 302.13, 41.18
1.02, 302.13, 41.28
1.02, 302.13, 41.39
1.02, 302.13, 41.49
1.02, 302.13, 41.59
1.02, 302.13, 41.7
1.02, 302.13, 41.8
1.02, 302.13, 41.9
1.02, 302.13, 42.01
1.02, 302.13, 42.11
1.02, 302.13, 42.22
1.02, 302.13, 42.32
1.02, 302.13, 42.42
1.02, 302.13, 42.53
1.02, 302.13, 42.63
1.02, 302.13, 42.73
1.02, 302.13, 42.84
1.02, 302.13, 42.94
1.02, 302.13, 43.04
1.02, 302.13, 43.15
1.02, 302.13, 43.25
1.02, 302.13, 43.35
1.02, 302.13, 43.46
0.93, 302.22, 43.56
0.93, 302.22, 43.65
0.93, 302.22, 43.75
