erro, temperatura atual, integral
3.66, 297.49, 0.0
3.66, 297.49, 0.37
3.66, 297.49, 0.74
3.66, 297.49, 1.12
3.66, 297.49, 1.49
3.66, 297.49, 1.85
3.57, 297.58, 2.22
3.57, 297.58, 2.58
3.66, 297.49, 2.95
3.57, 297.58, 3.32
3.66, 297.49, 3.68
3.66, 297.49, 4.06
3.66, 297.49, 4.43
3.66, 297.49, 4.8
3.66, 297.49, 5.17
3.57, 297.58, 5.53
3.66, 297.49, 5.9
3.57, 297.58, 6.27
3.57, 297.58, 6.63
3.57, 297.58, 6.99
3.66, 297.49, 7.36
3.66, 297.49, 7.73
3.66, 297.49, 8.1
3.66, 297.49, 8.47
3.66, 297.49, 8.84
3.66, 297.49, 9.21
3.66, 297.49, 9.58
3.66, 297.49, 9.95
3.57, 297.58, 10.32
3.57, 297.58, 10.68
3.66, 297.49, 11.05
3.66, 297.49, 11.42
3.66, 297.49, 11.79
3.66, 297.49, 12.16
3.66, 297.49, 12.53
3.57, 297.58, 12.9
3.66, 297.49, 13.26
3.66, 297.49, 13.64
3.57, 297.58, 14.0
3.66, 297.49, 14.37
3.66, 297.49, 14.74
3.66, 297.49, 15.11
3.66, 297.49, 15.48
3.66, 297.49, 15.85
3.66, 297.49, 16.22
3.66, 297.49, 16.6
3.66, 297.49, 16.97
3.66, 297.49, 17.34
3.57, 297.58, 17.7
3.57, 297.58, 18.06
3.66, 297.49, 18.43
3.66, 297.49, 18.8
3.66, 297.49, 19.17
3.66, 297.49, 19.55
3.66, 297.49, 19.91
3.66, 297.49, 20.28
3.66, 297.49, 20.66
3.66, 297.49, 21.03
3.57, 297.58, 21.4
3.57, 297.58, 21.76
3.57, 297.58, 22.12
3.66, 297.49, 22.49
3.66, 297.49, 22.86
3.66, 297.49, 23.23
3.66, 297.49, 23.6
3.66, 297.49, 23.97
3.66, 297.49, 24.34
3.66, 297.49, 24.71
3.57, 297.58, 25.08
3.57, 297.58, 25.44
3.57, 297.58, 25.8
3.57, 297.58, 26.16
3.66, 297.49, 26.53
3.66, 297.49, 26.9
3.66, 297.49, 27.27
3.66, 297.49, 27.64
3.66, 297.49, 28.01
3.66, 297.49, 28.38
3.66, 297.49, 28.75
3.57, 297.58, 29.12
3.57, 297.58, 29.48
3.57, 297.58, 29.84
3.57, 297.58, 30.2
3.66, 297.49, 30.57
3.66, 297.49, 30.94
3.66, 297.49, 31.31
3.66, 297.49, 31.68
3.66, 297.49, 32.06
3.66, 297.49, 32.42
3.66, 297.49, 32.8
3.57, 297.58, 33.17
3.57, 297.58, 33.53
3.57, 297.58, 33.89
3.66, 297.49, 34.26
3.66, 297.49, 34.63
3.66, 297.49, 35.0
3.66, 297.49, 35.37
3.66, 297.49, 35.75
3.66, 297.49, 36.12
3.57, 297.58, 36.48
3.57, 297.58, 36.85
3.57, 297.58, 37.21
3.57, 297.58, 37.57
3.57, 297.58, 37.94
3.57, 297.58, 38.3
3.57, 297.58, 38.67
3.66, 297.49, 39.03
3.66, 297.49, 39.4
3.66, 297.49, 39.77
3.57, 297.58, 40.14
3.57, 297.58, 40.5
3.66, 297.49, 40.87
3.57, 297.58, 41.24
3.57, 297.58, 41.6
3.57, 297.58, 41.96
3.66, 297.49, 42.33
3.66, 297.49, 42.7
3.66, 297.49, 43.08
3.66, 297.49, 43.45
3.66, 297.49, 43.82
3.57, 297.58, 44.18
3.57, 297.58, 44.55
3.57, 297.58, 44.91
3.57, 297.58, 45.27
3.57, 297.58, 45.64
3.66, 297.49, 46.01
3.57, 297.58, 46.37
3.66, 297.49, 46.74
3.66, 297.49, 47.11
3.66, 297.49, 47.49
3.57, 297.58, 47.85
3.57, 297.58, 48.22
3.57, 297.58, 48.58
3.57, 297.58, 48.94
3.57, 297.58, 49.3
3.57, 297.58, 49.67
3.66, 297.49, 50.03
3.66, 297.49, 50.41
3.66, 297.49, 50.78
3.66, 297.49, 51.15
3.66, 297.49, 51.52
3.66, 297.49, 51.89
3.57, 297.58, 52.26
3.57, 297.58, 52.62
3.57, 297.58, 52.98
3.57, 297.58, 53.35
3.57, 297.58, 53.71
3.57, 297.58, 54.08
3.66, 297.49, 54.44
3.66, 297.49, 54.81
3.66, 297.49, 55.19
3.57, 297.58, 55.55
3.57, 297.58, 55.92
3.57, 297.58, 56.28
3.57, 297.58, 56.64
3.57, 297.58, 57.01
3.57, 297.58, 57.37
3.57, 297.58, 57.73
3.66, 297.49, 58.1
3.66, 297.49, 58.47
3.66, 297.49, 58.84
3.57, 297.58, 59.21
3.66, 297.49, 59.58
3.57, 297.58, 59.94
3.57, 297.58, 60.3
3.57, 297.58, 60.67
3.57, 297.58, 61.03
3.57, 297.58, 61.39
3.57, 297.58, 61.76
3.57, 297.58, 62.12
3.57, 297.58, 62.48
3.66, 297.49, 62.85
3.57, 297.58, 63.22
3.57, 297.58, 63.58
3.57, 297.58, 63.95
3.57, 297.58, 64.31
3.57, 297.58, 64.67
3.57, 297.58, 65.03
3.57, 297.58, 65.39
3.57, 297.58, 65.76
3.66, 297.49, 66.12
3.57, 297.58, 66.49
3.57, 297.58, 66.85
3.57, 297.58, 67.21
3.57, 297.58, 67.58
3.57, 297.58, 67.94
3.57, 297.58, 68.3
3.48, 297.67, 68.66
3.57, 297.58, 69.02
3.57, 297.58, 69.38
3.57, 297.58, 69.74
3.57, 297.58, 70.1
3.66, 297.49, 70.47
3.57, 297.58, 70.84
3.57, 297.58, 71.2
3.57, 297.58, 71.56
3.57, 297.58, 71.92
3.57, 297.58, 72.64
3.57, 297.58, 73.0
3.57, 297.58, 73.36
3.57, 297.58, 73.72
3.57, 297.58, 74.09
3.57, 297.58, 74.45
3.57, 297.58, 74.81
3.57, 297.58, 75.17
3.57, 297.58, 75.53
3.57, 297.58, 75.9
3.57, 297.58, 76.26
3.57, 297.58, 76.62
3.57, 297.58, 76.98
3.57, 297.58, 77.34
3.57, 297.58, 77.7
3.57, 297.58, 78.07
3.57, 297.58, 78.43
3.57, 297.58, 78.79
3.57, 297.58, 79.15
3.57, 297.58, 79.51
3.57, 297.58, 79.88
3.48, 297.67, 80.23
3.57, 297.58, 80.59
3.57, 297.58, 80.96
3.57, 297.58, 81.32
3.57, 297.58, 81.68
3.57, 297.58, 82.04
3.57, 297.58, 82.4
3.57, 297.58, 82.77
3.57, 297.58, 83.13
3.57, 297.58, 83.49
3.48, 297.67, 83.85
3.57, 297.58, 84.21
3.57, 297.58, 84.57
3.57, 297.58, 84.93
3.57, 297.58, 85.3
3.57, 297.58, 85.66
3.57, 297.58, 86.02
3.57, 297.58, 86.39
3.57, 297.58, 86.75
3.48, 297.67, 87.11
3.48, 297.67, 87.46
3.48, 297.67, 87.82
3.48, 297.67, 88.17
3.57, 297.58, 88.53
3.57, 297.58, 88.89
3.57, 297.58, 89.26
3.57, 297.58, 89.62
3.48, 297.67, 89.97
3.57, 297.58, 90.33
3.57, 297.58, 90.69
3.48, 297.67, 91.05
3.48, 297.67, 91.4
3.48, 297.67, 91.76
3.57, 297.58, 92.12
3.48, 297.67, 92.47
3.57, 297.58, 92.83
3.57, 297.58, 93.19
3.57, 297.58, 93.55
3.57, 297.58, 93.92
3.57, 297.58, 94.28
3.48, 297.67, 94.63
3.48, 297.67, 94.99
3.48, 297.67, 95.34
3.48, 297.67, 95.7
3.48, 297.67, 96.05
3.48, 297.67, 96.4
3.57, 297.58, 96.76
3.57, 297.58, 97.12
3.48, 297.67, 97.48
3.48, 297.67, 97.83
3.48, 297.67, 98.18
3.48, 297.67, 98.54
3.48, 297.67, 98.89
3.48, 297.67, 99.24
3.48, 297.67, 99.6
3.48, 297.67, 99.95
3.48, 297.67, 100.31
3.48, 297.67, 100.66
3.48, 297.67, 101.01
3.57, 297.58, 101.37
3.57, 297.58, 101.73
3.48, 297.67, 102.09
3.48, 297.67, 102.44
3.48, 297.67, 102.8
3.48, 297.67, 103.15
3.48, 297.67, 103.5
3.48, 297.67, 103.86
3.48, 297.67, 104.21
3.48, 297.67, 104.57
3.48, 297.67, 104.92
3.48, 297.67, 105.27
3.48, 297.67, 105.62
3.48, 297.67, 105.98
3.48, 297.67, 106.33
3.4, 297.75, 106.68
3.4, 297.75, 107.03
3.4, 297.75, 107.37
3.48, 297.67, 107.72
3.48, 297.67, 108.07
3.48, 297.67, 108.43
3.48, 297.67, 108.78
3.48, 297.67, 109.13
3.48, 297.67, 109.48
3.4, 297.75, 109.84
3.4, 297.75, 110.18
3.4, 297.75, 110.53
3.48, 297.67, 110.88
3.4, 297.75, 111.22
3.48, 297.67, 111.57
3.48, 297.67, 111.93
3.48, 297.67, 112.28
3.48, 297.67, 112.63
3.48, 297.67, 112.98
3.48, 297.67, 113.34
3.48, 297.67, 113.7
3.4, 297.75, 114.04
3.4, 297.75, 114.39
3.4, 297.75, 114.73
3.4, 297.75, 115.08
3.4, 297.75, 115.42
3.48, 297.67, 115.77
3.48, 297.67, 116.13
3.48, 297.67, 116.48
3.4, 297.75, 116.83
3.48, 297.67, 117.17
3.4, 297.75, 117.52
3.4, 297.75, 117.87
3.4, 297.75, 118.21
3.4, 297.75, 118.55
3.4, 297.75, 118.9
3.4, 297.75, 119.25
3.48, 297.67, 119.6
3.48, 297.67, 119.95
3.48, 297.67, 120.3
3.4, 297.75, 120.65
3.4, 297.75, 120.99
3.4, 297.75, 121.34
3.4, 297.75, 121.69
3.4, 297.75, 122.03
3.4, 297.75, 122.38
3.4, 297.75, 122.72
3.48, 297.67, 123.07
3.4, 297.75, 123.42
3.48, 297.67, 123.76
3.4, 297.75, 124.12
3.4, 297.75, 124.46
3.4, 297.75, 124.8
3.4, 297.75, 125.15
3.4, 297.75, 125.49
3.4, 297.75, 125.84
3.4, 297.75, 126.18
3.4, 297.75, 126.53
3.4, 297.75, 126.87
3.4, 297.75, 127.22
3.4, 297.75, 127.56
3.48, 297.67, 127.91
3.4, 297.75, 128.26
3.4, 297.75, 128.61
3.4, 297.75, 128.95
3.31, 297.84, 129.29
3.4, 297.75, 129.63
3.31, 297.84, 129.97
3.4, 297.75, 130.31
3.4, 297.75, 130.65
3.4, 297.75, 131.0
3.48, 297.67, 131.35
3.4, 297.75, 131.69
3.4, 297.75, 132.04
3.31, 297.84, 132.38
3.31, 297.84, 132.72
3.31, 297.84, 133.05
3.4, 297.75, 133.39
3.4, 297.75, 133.74
3.4, 297.75, 134.08
3.4, 297.75, 134.42
3.4, 297.75, 134.77
3.4, 297.75, 135.11
3.4, 297.75, 135.46
3.4, 297.75, 135.81
3.31, 297.84, 136.15
3.31, 297.84, 136.48
3.31, 297.84, 136.82
3.31, 297.84, 137.15
3.4, 297.75, 137.49
3.31, 297.84, 137.83
3.4, 297.75, 138.17
3.4, 297.75, 138.51
3.4, 297.75, 138.86
3.31, 297.84, 139.2
3.31, 297.84, 139.53
3.31, 297.84, 139.87
3.31, 297.84, 140.21
3.31, 297.84, 140.54
3.31, 297.84, 140.87
3.31, 297.84, 141.21
3.4, 297.75, 141.55
3.31, 297.84, 141.89
3.31, 297.84, 142.23
3.31, 297.84, 142.56
3.31, 297.84, 142.9
3.31, 297.84, 143.23
3.31, 297.84, 143.57
3.4, 297.75, 143.91
3.31, 297.84, 144.25
3.31, 297.84, 144.59
3.31, 297.84, 144.92
3.31, 297.84, 145.25
3.4, 297.75, 145.6
3.31, 297.84, 145.94
3.31, 297.84, 146.27
3.31, 297.84, 146.61
3.31, 297.84, 146.95
3.22, 297.93, 147.28
3.31, 297.84, 147.61
3.31, 297.84, 147.94
3.31, 297.84, 148.28
3.31, 297.84, 148.62
3.31, 297.84, 148.96
3.31, 297.84, 149.29
3.4, 297.75, 149.63
3.31, 297.84, 149.97
3.22, 297.93, 150.3
3.22, 297.93, 150.63
3.22, 297.93, 150.96
3.22, 297.93, 151.28
3.22, 297.93, 151.61
3.31, 297.84, 151.94
3.31, 297.84, 152.28
3.31, 297.84, 152.62
3.31, 297.84, 152.95
3.22, 297.93, 153.28
3.22, 297.93, 153.6
3.22, 297.93, 153.93
3.22, 297.93, 154.26
3.22, 297.93, 154.58
3.22, 297.93, 154.91
3.22, 297.93, 155.24
3.22, 297.93, 155.56
3.22, 297.93, 155.89
3.31, 297.84, 156.22
3.22, 297.93, 156.55
3.22, 297.93, 156.88
3.22, 297.93, 157.21
3.22, 297.93, 157.53
3.22, 297.93, 157.86
3.22, 297.93, 158.18
3.22, 297.93, 158.51
3.22, 297.93, 158.84
3.22, 297.93, 159.16
3.22, 297.93, 159.49
3.22, 297.93, 159.82
3.22, 297.93, 160.15
3.22, 297.93, 160.47
3.22, 297.93, 160.8
3.22, 297.93, 161.13
3.22, 297.93, 161.45
3.22, 297.93, 161.78
3.22, 297.93, 162.11
3.22, 297.93, 162.43
3.22, 297.93, 162.76
3.22, 297.93, 163.09
3.22, 297.93, 163.41
3.13, 298.02, 163.73
3.13, 298.02, 164.05
3.22, 297.93, 164.38
3.13, 298.02, 164.7
3.22, 297.93, 165.02
3.22, 297.93, 165.35
3.31, 297.84, 165.68
3.22, 297.93, 166.01
3.22, 297.93, 166.34
3.22, 297.93, 166.66
3.13, 298.02, 166.99
3.13, 298.02, 167.3
3.13, 298.02, 167.62
3.22, 297.93, 167.94
3.13, 298.02, 168.27
3.13, 298.02, 168.58
3.22, 297.93, 168.91
3.13, 298.02, 169.23
3.13, 298.02, 169.55
3.13, 298.02, 169.87
3.13, 298.02, 170.18
3.13, 298.02, 170.5
3.13, 298.02, 170.82
3.13, 298.02, 171.14
3.13, 298.02, 171.46
3.13, 298.02, 171.77
3.22, 297.93, 172.1
3.22, 297.93, 172.42
3.13, 298.02, 172.74
3.13, 298.02, 173.06
3.13, 298.02, 173.38
3.04, 298.11, 173.7
3.13, 298.02, 174.01
3.04, 298.11, 174.32
3.13, 298.02, 174.64
3.13, 298.02, 174.95
3.13, 298.02, 175.27
3.13, 298.02, 175.59
3.13, 298.02, 175.91
3.13, 298.02, 176.23
3.13, 298.02, 176.54
3.04, 298.11, 176.85
3.04, 298.11, 177.17
3.13, 298.02, 177.48
3.13, 298.02, 177.8
3.04, 298.11, 178.11
3.13, 298.02, 178.42
3.13, 298.02, 178.74
3.13, 298.02, 179.06
3.13, 298.02, 179.38
3.13, 298.02, 179.69
3.04, 298.11, 180.01
3.04, 298.11, 180.32
3.04, 298.11, 180.63
3.04, 298.11, 180.94
3.04, 298.11, 181.25
3.13, 298.02, 181.56
3.13, 298.02, 181.88
3.13, 298.02, 182.2
3.04, 298.11, 182.51
3.04, 298.11, 182.82
3.04, 298.11, 183.13
3.04, 298.11, 183.44
3.04, 298.11, 183.74
3.04, 298.11, 184.05
3.04, 298.11, 184.37
3.04, 298.11, 184.67
3.04, 298.11, 184.98
3.04, 298.11, 185.29
3.04, 298.11, 185.6
3.04, 298.11, 185.91
3.04, 298.11, 186.22
2.96, 298.19, 186.52
3.04, 298.11, 186.83
3.04, 298.11, 187.14
2.96, 298.19, 187.44
3.04, 298.11, 187.74
3.04, 298.11, 188.05
3.04, 298.11, 188.36
3.04, 298.11, 188.67
3.04, 298.11, 188.98
2.96, 298.19, 189.29
2.96, 298.19, 189.58
3.04, 298.11, 189.89
2.96, 298.19, 190.19
2.96, 298.19, 190.49
2.96, 298.19, 190.8
3.04, 298.11, 191.1
3.04, 298.11, 191.41
3.04, 298.11, 191.72
2.96, 298.19, 192.02
2.96, 298.19, 192.32
2.96, 298.19, 192.62
2.96, 298.19, 192.92
2.96, 298.19, 193.22
3.04, 298.11, 193.52
3.04, 298.11, 193.84
3.04, 298.11, 194.15
3.04, 298.11, 194.45
2.96, 298.19, 194.76
2.96, 298.19, 195.06
2.96, 298.19, 195.36
2.96, 298.19, 195.66
2.96, 298.19, 195.96
2.96, 298.19, 196.26
2.96, 298.19, 196.56
2.96, 298.19, 196.86
2.96, 298.19, 197.16
2.96, 298.19, 197.46
2.96, 298.19, 197.76
2.96, 298.19, 198.06
2.96, 298.19, 198.36
2.96, 298.19, 198.66
2.87, 298.28, 198.95
2.96, 298.19, 199.25
2.96, 298.19, 199.55
